ID,Keywords,Assignment
Topic 27,"bees 1.59, plant 0.07, laughter 0.06, insects 0.05, urban 0.05, right 0.03, researchers 0.03, science 0.02, nature 0.01, agriculture 0.01, years 0.01, male 0.0, dying 0.0, garden 0.0, loss 0.0, ",ecology
Topic 28,"violence 1.52, gun 0.32, police 0.31, victims 0.17, crime 0.12, men 0.12, conflict 0.1, local 0.1, community 0.1, mexico 0.1, law 0.09, peace 0.09, streets 0.08, drug 0.08, young 0.08, ",crime
Topic 29,"chinese 1.27, china 1.21, india 0.53, indian 0.25, world 0.16, west 0.16, countries 0.13, north 0.13, asia 0.12, growth 0.11, state 0.09, east 0.09, economic 0.09, united 0.08, states 0.08, ",china-india
Topic 30,"food 1.81, eat 0.47, farmers 0.32, meat 0.3, feed 0.26, eating 0.22, waste 0.21, bread 0.19, plant 0.18, organic 0.17, farm 0.16, agriculture 0.16, plants 0.15, fish 0.14, kids 0.13, ",sustainability
Topic 31,"plastic 1.47, bottle 0.27, waste 0.15, ocean 0.15, materials 0.14, bacteria 0.12, beach 0.11, material 0.09, steel 0.09, stuff 0.08, products 0.07, make 0.07, bits 0.06, island 0.05, mine 0.04, ",plastics
Topic 32,"cells 1.81, stem 0.69, cell 0.55, tissue 0.3, bone 0.26, organs 0.24, body 0.23, disease 0.18, drug 0.16, actually 0.12, lab 0.12, blood 0.12, heart 0.12, drugs 0.11, skin 0.09, ",cells
Topic 33,"said 0.79, life 0.51, people 0.46, father 0.42, story 0.39, man 0.39, mother 0.37, family 0.36, day 0.35, love 0.34, went 0.32, stories 0.31, home 0.3, told 0.3, years 0.29, ","families, stories"
Topic 34,"mars 0.94, earth 0.83, planet 0.74, planets 0.7, solar 0.38, stars 0.34, life 0.32, sun 0.27, surface 0.27, star 0.24, atmosphere 0.23, telescope 0.21, space 0.19, system 0.18, moon 0.17, ",planets
Topic 35,"know 1.54, said 0.87, going 0.78, got 0.53, just 0.52, laughter 0.49, oh 0.49, yeah 0.45, right 0.42, say 0.4, ok 0.37, guy 0.35, get 0.33, thing 0.31, go 0.29, ",
Topic 36,"internet 0.92, computer 0.7, information 0.68, technology 0.55, digital 0.51, web 0.49, online 0.4, phone 0.4, machine 0.4, computers 0.38, media 0.35, video 0.3, mobile 0.29, software 0.25, page 0.22, ",internet
Topic 37,"children 1.93, child 0.86, autism 0.38, babies 0.36, parents 0.32, family 0.24, india 0.24, families 0.24, schools 0.16, baby 0.12, countries 0.11, boy 0.1, mother 0.1, mothers 0.07, institutions 0.07, ",child development
Topic 38,"sleep 1.52, clock 0.11, night 0.1, self 0.06, eight 0.05, bed 0.05, device 0.04, waste 0.04, exercise 0.04, blood 0.03, hours 0.03, heart 0.03, dog 0.03, virtual 0.03, rate 0.02, ",sleep
Topic 39,"ice 1.39, pole 0.46, climate 0.39, north 0.18, south 0.17, sea 0.17, feet 0.17, ocean 0.14, warming 0.12, atmosphere 0.12, years 0.11, cold 0.11, earth 0.11, temperature 0.1, change 0.1, ",climate
Topic 40,"forest 0.84, plants 0.78, species 0.73, trees 0.58, animals 0.56, plant 0.52, tree 0.35, soil 0.24, insects 0.24, carbon 0.23, nature 0.22, amazon 0.18, land 0.18, brazil 0.16, animal 0.16, ",ecology
Topic 41,"democracy 0.64, war 0.59, government 0.46, political 0.46, people 0.37, power 0.34, country 0.31, world 0.28, peace 0.27, politics 0.26, security 0.26, citizens 0.25, rights 0.24, afghanistan 0.24, states 0.23, ",war
,,
,,
,,
,,
