ID,Keywords,Assignment
Topic 27,"companies 1.31, company 0.85, business 0.74, success 0.24, employees 0.22, innovation 0.22, products 0.15, product 0.11, corruption 0.1, patent 0.1, leaders 0.1, sustainable 0.09, value 0.09, leadership 0.09, really 0.09, ",business
Topic 28,"machine 1.67, computer 0.91, machines 0.54, computers 0.46, technology 0.21, learning 0.15, human 0.15, intelligence 0.12, built 0.11, web 0.1, memory 0.1, software 0.09, build 0.09, digital 0.07, system 0.06, ",artificial intelligences
Topic 29,"design 1.91, designers 0.55, building 0.46, architecture 0.32, designing 0.24, designed 0.24, designer 0.23, materials 0.21, buildings 0.2, project 0.14, products 0.13, product 0.13, process 0.12, kind 0.12, material 0.12, ",design
Topic 30,"information 2.05, phone 0.54, mobile 0.39, digital 0.16, phones 0.14, system 0.14, visual 0.14, access 0.11, device 0.1, devices 0.07, technologies 0.07, police 0.07, technology 0.07, intelligence 0.06, physical 0.06, ",mobile phones
Topic 31,"ice 1.38, pole 0.47, climate 0.35, north 0.18, south 0.18, feet 0.17, sea 0.16, ocean 0.13, warming 0.12, years 0.11, cold 0.11, atmosphere 0.11, earth 0.1, journey 0.1, year 0.09, ",climate change
Topic 32,"babies 1.34, baby 0.68, mothers 0.24, learning 0.17, statistics 0.11, birth 0.11, mother 0.09, born 0.08, evidence 0.08, woman 0.07, learn 0.04, month 0.04, world 0.03, hiv 0.03, critical 0.03, ",childhood development
Topic 33,"game 1.24, games 1.16, play 0.85, video 0.49, playing 0.32, players 0.24, player 0.19, played 0.09, win 0.08, virtual 0.07, physical 0.07, real 0.07, fun 0.06, interaction 0.05, worlds 0.05, ",games
Topic 34,"gay 1.4, rights 0.35, marriage 0.17, identity 0.15, movement 0.12, meaning 0.09, civil 0.09, sexual 0.07, sex 0.07, gender 0.06, harder 0.05, people 0.04, vote 0.03, court 0.03, parents 0.03, ",sexuality
Topic 35,"sound 1.67, noise 0.54, listening 0.49, sounds 0.34, hear 0.28, hearing 0.21, listen 0.19, song 0.12, waves 0.11, silence 0.1, visual 0.09, just 0.07, play 0.07, video 0.07, wave 0.07, ",sound
Topic 36,"art 1.4, artist 0.58, artists 0.55, painting 0.44, museum 0.34, images 0.27, paint 0.23, project 0.23, work 0.22, space 0.18, image 0.18, book 0.16, arts 0.14, wall 0.12, books 0.1, ",art
Topic 37,"dna 1.41, genome 0.58, bacteria 0.51, genes 0.39, gene 0.36, genetic 0.32, cell 0.29, molecular 0.27, virus 0.26, species 0.23, code 0.22, sequence 0.2, molecule 0.17, molecules 0.16, microbes 0.16, ",genetics
Topic 38,"voice 1.66, voices 0.47, speech 0.16, body 0.1, baby 0.09, cards 0.09, sounds 0.08, pm 0.08, speak 0.07, words 0.05, human 0.04, share 0.03, recorded 0.03, card 0.03, possible 0.02, ",voices
Topic 39,"forest 0.81, species 0.75, plants 0.75, animals 0.61, trees 0.56, plant 0.49, tree 0.35, insects 0.24, soil 0.24, nature 0.23, carbon 0.22, animal 0.19, land 0.18, amazon 0.18, birds 0.17, ",ecology
Topic 40,"democracy 1.27, political 0.6, government 0.38, politics 0.35, citizens 0.31, democratic 0.3, vote 0.19, muslim 0.18, societies 0.16, power 0.15, party 0.15, rights 0.15, country 0.14, revolution 0.11, society 0.11, ",politics
Topic 41,"war 1.13, violence 0.48, peace 0.45, afghanistan 0.39, conflict 0.38, military 0.33, soldiers 0.33, iraq 0.3, weapons 0.29, killed 0.27, security 0.24, civil 0.24, wars 0.23, gun 0.22, international 0.22, ",war
Topic 42,"bees 1.59, plant 0.07, laughter 0.06, insects 0.05, urban 0.05, right 0.03, researchers 0.03, science 0.02, agriculture 0.01, nature 0.01, years 0.01, dying 0.0, male 0.0, garden 0.0, loss 0.0, ",ecology
Topic 43,"said 1.01, life 0.49, people 0.44, know 0.44, father 0.4, man 0.39, mother 0.37, story 0.37, love 0.36, family 0.34, day 0.34, went 0.33, told 0.29, home 0.28, stories 0.28, ","families, stories"
Topic 44,"internet 1.21, media 0.65, online 0.54, web 0.53, twitter 0.34, page 0.31, video 0.26, digital 0.25, content 0.25, facebook 0.25, social 0.24, government 0.23, people 0.22, google 0.22, network 0.21, ",internet
