Name,Occupation,Gender,MaleScore,FemaleScore,NonBinaryScore,Gender + hand codes,
Del Harvey,Security maven,female,0,2,0,female,
Diana Laufenberg,Educator,female,0,1,0,female,
Diana Nyad,"Journalist, swimmer",female,0,11,0,female,
Diane Benscoter,Deprogrammer,female,0,16,2,female,
Diane Kelly,Biologist,female,0,5,0,female,
Dianna Cohen,Artist and activist,female,0,5,0,female,
Doris Kearns Goodwin,Historian,female,3,6,0,female,
Dorothy Roberts,"Professor, author and social justice advocate",female,0,4,0,female,
Dr. Hawa Abdi + Dr. Deqo Mohamed,Somali doctors who treat women refugees,female,0,9,1,female,
Dyan deNapoli,Penguin expert,female,0,6,0,female,
Edith Widder,Marine biologist,female,0,7,1,female,
Einstein the Parrot,African grey parrot,female,0,6,0,female,
Elaine Morgan,Aquatic ape theorist,female,0,6,0,female,
Eleanor Longden,Research psychologist,female,0,6,2,female,
Eleni Gabre-Madhin,Economist,female,1,5,1,female,
Elif Shafak,Novelist,female,1,16,1,female,
Elizabeth Gilbert,Writer,female,0,10,0,female,
Elizabeth Lesser,"Writer, healer",female,0,2,0,female,
Elizabeth Lev,Art historian,female,0,6,0,female,
Elizabeth Lindsey,"Explorer, ethnographer",female,0,4,1,female,
Elizabeth Murchison,Cancer researcher,female,0,1,1,female,
Elizabeth Nyamayaro,Political scientist,female,0,2,0,female,
Elizabeth Pisani,Author,female,0,6,1,female,
Ellen Dunham-Jones,Architect,female,0,3,1,female,
Ellen Jorgensen,Biologist and community science advocate,female,0,2,0,female,
Dame Ellen MacArthur,Circular economy advocate,female,0,7,0,female,
Ellen 't Hoen,Medicine law expert,female,0,7,0,female,
Elora Hardy,Sustainable designer,female,0,4,1,female,
Elyn Saks,Mental health law scholar,female,0,9,1,female,
Emilie Wapnick,"Writer, coach, artist ...",female,0,3,1,female,
Emily Balcetis,Psychologist,female,1,2,1,female,
Emily Levine,Philosopher-comic,female,0,4,0,female,
Emily Oster,Assumption-busting economist,female,2,12,0,female,
Erica Frenkel,Medical technologist,female,0,1,0,female,
Erin McKean,Dictionary editor,female,0,6,0,female,
Esta Soler,Violence and abuse prevention expert,female,0,2,1,female,
Esther Perel,Relationship therapist,female,0,6,1,female,
Eva Vertes,Neuroscience and cancer researcher,female,0,9,2,female,
Eva Zeisel,Designer,female,3,12,0,female,
Evelyn Glennie,Musician,female,0,13,0,female,
Faith Jegede,Writer,female,0,5,1,female,
Frances Larson,Anthropologist,female,0,2,0,female,
Gayle Tzemach Lemmon,Reporter,female,0,5,1,female,
Geena Rocero,Model and activist,female,0,7,0,female,
Genevieve von Petzinger,Paleoanthropologist and rock art researcher,female,0,4,0,female,
Georgette Mulheir,"CEO, Lumos",female,0,2,1,female,
Geraldine Hamilton,Bio researcher,female,0,4,0,female,
Haley Van Dyck,Disrupter,female,0,1,0,female,
Halla Tomasdottir,"Change agent, financial services",female,0,6,1,female,
Hanna Rosin,Journalist,female,0,7,1,female,
Hannah Brencher,Letter enthusiast,female,0,6,2,female,
Hannah Fry,Complexity theorist,female,0,2,0,female,
Heather Brooke,Journalist,female,0,5,0,female,
Heather Knight,Roboticist ,female,0,8,0,female,
Helen Fisher,Anthropologist; expert on love,female,1,7,0,female,
Hilary Cottam,Innovator and social entrepreneur,female,0,5,0,female,
Holly Morris,Explorer and filmmaker,female,0,5,0,female,
Honor Harger,Artist,female,0,2,1,female,
Hyeonseo Lee,Activist,female,0,11,2,female,
Ilona Szabê_ de Carvalho,Policy reformer,female,0,1,1,female,
Imogen Heap,Musician,female,0,9,1,female,
Inge Missmahl,Analytical psychologist,female,0,3,0,female,
iO Tillett Wright,Photographer,female,0,19,0,female,
Isabel Allende,Novelist,female,0,19,1,female,
Jackie Savitz,Ocean advocate,female,0,6,0,female,
Jackie Tabick,Spiritual leader,female,0,6,0,female,
Jae Rhim Lee,Artist,female,0,6,0,female,
Jamila Lyiscott,Poet and educator,female,0,6,0,female,
Jane Chen,Social entrepreneur,female,0,4,2,female,
Jane Fonda,Actor and activist,female,0,4,0,female,
Jane Fonda,Actor and activist,female,0,4,0,female,
Jane Goodall,Primatologist; environmentalist,female,0,5,0,female,
Jane McGonigal,Game Designer,female,0,9,1,female,
Jane Poynter,Biospherian,female,0,8,1,female,
Janet Echelman,Artist,female,0,2,0,female,
Janine di Giovanni,Reporter,female,0,6,0,female,
Janine Shepherd,Pilot,female,0,26,1,female,
Janna Levin,Physicist,female,0,8,1,female,
Jedidah Isler,Astrophysicist,female,0,12,1,female,
Jehane Noujaim,Filmmaker,female,0,2,0,female,
Jennifer Pahlka,Code activist,female,0,6,0,female,
Jenna McCarthy,Writer,female,0,1,0,female,
Jennifer 8. Lee,Reporter,female,1,4,0,female,
Jennifer Doudna,Biologist,female,0,1,0,female,
