Name,Occupation,Gender,MaleScore,FemaleScore,NonBinaryScore,Gender + hand codes,
Beeban Kidron,Film director,undetected,0,2,2,female,
Candy Chang,"Artist, designer, urban planner",undetected,0,7,5,female,
Caroline Casey,Advocate for disabled people,undetected,0,3,3,female,
Emily Pilloton,Humanitarian design activist,undetected,0,4,3,female,
Eve Ensler,"Playwright, activist",undetected,0,7,4,female,
Jacqueline Novogratz,Social entrepreneur,undetected,0,8,8,female,
Jennifer Healey,Research scientist,undetected,0,8,6,female,
Judy MacDonald Johnston,Entrepreneur,undetected,0,3,3,female,
Kate Hartman,Artist and technologist,undetected,0,3,2,female,
Khalida Brohi,Women_ã_s rights activist and entrepreneur,undetected,0,5,3,female,
Liz Diller,Designer,undetected,0,2,2,female,
Mena Trott,"Blogger; cofounder, Six Apart",undetected,0,4,5,female,
Paula Johnson,Women's-health expert,undetected,0,2,2,female,
Rita F. Pierson,Educator,undetected,0,6,10,female,
Robin Chase,Transport networker,undetected,0,5,3,female,
Rose Goslinga,Microinsurer,undetected,0,3,4,female,
Sharmeen Obaid-Chinoy,Filmmaker,undetected,0,5,4,female,
Susan Cain,Quiet revolutionary,undetected,0,6,10,female,
Heather Barnett,Artist,no pronouns,0,0,0,female,
Kim Gorgens,Neuropsychologist,no pronouns,0,0,0,female,
Natasha Tsakos,Artist,no pronouns,0,0,0,female,
Severine Autesserre,Peace and conflict researcher,no pronouns,0,0,0,female,
Shilo Shiv Suleman,Artist,no pronouns,0,0,0,female,
Shukla Bose,Education activist,no pronouns,0,0,0,female,
Ameera Harouda,Fixer,non-binary,0,0,5,female,
Anna Mracek Dietrich,Inventor,non-binary,0,0,4,female,
Annette Heuser,Rating agency reformer,non-binary,0,0,2,female,
Emma Teeling,Zoologist,non-binary,0,0,2,female,
Fei-Fei Li,Computer scientist,non-binary,0,0,1,female,
Gail Reed,Cuban health care expert,non-binary,0,0,3,female,
Kitra Cahana,Vagabond photojournalist + conceptual artist,undetected,3,4,0,female,
Marla Spivak,Bees scholar,undetected,0,6,4,female,
Melissa Fleming,Voice for refugees,undetected,0,2,3,female,
Mia Birdsong,Family activist,undetected,0,5,3,female,
Myriam Sidibe,Public-health expert,undetected,0,2,2,female,
Ory Okolloh,Blogger and activist,undetected,0,4,3,female,
Rebecca Onie,Health services innovator,undetected,0,2,2,female,
Sally Kohn,Political pundit,undetected,0,2,2,female,
Sophie Scott,"Neuroscientist, stand-up comic",undetected,0,2,3,female,
Susan Etlinger,Data analyst,undetected,0,5,3,female,
Ali Carr-Chellman,Instructional designer,undetected,0,3,3,female,
Angela Patton,Activist,undetected,0,5,3,female,
Angê©lica Dass,Artist and photographer,undetected,0,2,2,female,
Ann Cooper,Lunch lady,undetected,0,4,3,female,
Barbara Block,Marine biologist,undetected,0,3,2,female,
Carin Bondar,Wild sex biologist,undetected,0,3,2,female,
Carolyn Steel,Food urbanist,undetected,0,2,3,female,
Deborah Scranton,Filmmaker,undetected,0,3,3,female,
Dee Boersma,Conservation biologist,undetected,0,5,6,female,
Denise Herzing,Dolphin researcher,undetected,0,3,2,female,
Diana Reiss,Cognitive psychologist,undetected,0,7,4,female,
Doris Kim Sung,Architect,undetected,0,3,3,female,
Elizabeth Loftus,False memories scholar,undetected,0,3,2,female,
Ellen  Gustafson,Social entrepreneur,undetected,0,5,4,female,
Eman Mohammed,Photojournalist,undetected,0,5,3,female,
Esther Duflo,Development economist,undetected,0,2,2,female,
Janet Iwasa,Molecular animator,undetected,0,2,3,female,
Janette Sadik-Khan,City transportation expert,undetected,0,4,3,female,
Jennifer Kahn,Science journalist,undetected,0,3,2,female,
Jessica Jackley,Microlender,undetected,0,2,2,female,
Jill Farrant,Professor of molecular and cell biology,undetected,0,3,2,female,
Alison Gopnik,Child development psychologist,nonbinary,0,1,3,female,
Cheryl Hayashi,Spider silk scientist,nonbinary,0,2,6,female,
Fields Wicker-Miurin,Social entrepreneur,nonbinary,0,1,4,female,
Janine Benyus,"Science writer, innovation consultant, conservationist",nonbinary,0,1,2,female,
Joy Sun,veteran aid worker,nonbinary,0,1,2,female,
Krista Donaldson,Engineer,nonbinary,0,1,5,female,
Laura Robinson,Ocean scientist,nonbinary,0,1,2,female,
Melissa Marshall,Communications teacher,nonbinary,0,2,4,female,
Pam  Warhurst,"Cofounder, Incredible Edible",nonbinary,0,1,2,female,
Rupal Patel,Speech scientist,nonbinary,0,1,4,female,
Isabel Behncke Izquierdo,Primatologist,non-binary,0,0,1,female,
Marisa Fick-Jordan,"Craft artist, product designer",non-binary,0,0,2,female,
Quyen Nguyen,Surgeon,non-binary,0,0,2,female,
Ivan Coyote,"Writer, performer",undetected,0,3,4,gender non-binary,
Antony Gormley,Sculptor,last case,7,1,4,male,
Boniface Mwangi,,last case,6,1,3,male,
John Searle,Philosopher,last case,5,1,2,male,
Malte Spitz,Politician and Data Activist,last case,13,1,2,male,
Mitchell Besser,HIV/AIDS fighter,last case,2,4,5,male,
Toby Eccles,Social investment visionary,last case,5,1,3,male,
Torsten Reil,Animating neurobiologist,last case,7,1,2,male,
AJ Jacobs,Author,male,16,0,0,male,
Aakash Odedra,Choreographer,male,5,0,2,male,
Aaron Huey,Photographer,male,4,0,0,male,
Aaron Koblin,Data artist,male,5,0,1,male,
Aaron O'Connell,Physicist,male,1,0,0,male,
Abe Davis,Computer scientist,male,1,0,1,male,
Abraham Verghese,Physician and author,male,7,0,2,male,
Adam Davidson,Journalist,male,4,0,2,male,
Adam Foss,Juvenile justice reformer,male,3,0,0,male,
Adam Grant,Organizational psychologist,male,2,0,1,male,
Adam Grosser,Venture capitalist,male,4,0,0,male,
Adam Ockelford,Music teacher,male,9,0,1,male,
Adam Ostrow,Journalist,male,3,0,0,male,
Adam Sadowsky,Creative entrepreneur ,male,1,0,0,male,
Adam Savage,"Maker, critical thinker",male,13,0,2,male,
Adam Spencer,Science communicator,male,5,0,0,male,
Afra Raymond,Transparency activist,male,8,0,0,male,
Ajit Narayanan,Visual grammar engine inventor,male,2,0,0,male,
Al Gore,Climate advocate,male,5,0,0,male,
Al Seckel,Master of visual illusions,male,5,0,2,male,
Al Vernacchio,Sexuality educator,male,4,0,0,male,
Alain de Botton,Philosopher,male,7,0,0,male,
Alan Eustace,Stratospheric explorer,male,2,0,0,male,
Alan Kay,Educator and computing pioneer,male,6,0,3,male,
Alan Russell,Medical futurist,male,6,0,0,male,
Alan Siegel,"Executive, simplicity guru",male,6,0,2,male,
Alastair Parvin,Designer,male,1,0,0,male,
Alberto Cairo,Physiotherapist,male,6,0,0,male,
Alec Soth,Photographer,male,7,0,1,male,
Alejandro Aravena,Urban architect,male,5,0,1,male,
Alessandro Acquisti,Privacy economist,male,6,0,3,male,
Alex Kipman,Inventor,male,3,0,0,male,
Alex Steffen,Planetary futurist,male,10,0,2,male,
Alex Wissner-Gross,"Scientist, entrepreneur, inventor",male,4,0,0,male,
Alexander Tsiaras,Medical image maker,male,2,0,0,male,
Alexis Ohanian,Entrepreneur,male,4,0,0,male,
Allan Adams,Theoretical physicist,male,1,0,1,male,
Allan Savory,Grassland ecosystem pioneer,male,4,0,0,male,
Ami Klin,Autism researcher,male,4,0,0,male,
Amory Lovins,"Physicist, energy guru",male,4,0,0,male,
Amos Winter,Mechanical engineer,male,1,0,0,male,
Anand Agarawala,Interaction designer; software developer,male,1,0,1,male,
Anand Giridharadas,Author,male,5,0,0,male,
Anand Varma,Photographer,male,2,0,0,male,
Anant Agarwal,Education innovator,male,2,0,0,male,
Anas Aremeyaw Anas,Undercover journalist,male,9,0,0,male,
Anders Ynnerman,Scientific visualization expert,male,7,0,0,male,
Andreas Ekstrê_m,Author and journalist,male,2,0,0,male,
Andreas Raptopoulos,Airborne logistics activist,male,3,0,0,male,
Andres Lozano,Neurosurgeon,male,10,0,1,male,
Andrê©s Ruzo,Geoscientist,male,7,0,0,male,
Andrew Bastawrous,"Eye surgeon, inventor",male,3,0,0,male,
Andrew Bird,Musician,male,14,0,1,male,
Andrew Blum,Network author,male,4,0,0,male,
Andrew Connolly,Astronomer,male,1,0,1,male,
Andrew Fitzgerald,Editor,male,5,0,0,male,
Andrew McAfee,Management theorist,male,4,0,0,male,
Andrew Mwenda,Journalist,male,9,0,3,male,
Andrew Stanton,Filmmaker,male,5,0,1,male,
Andy Hobsbawm,Internet entrepreneur,male,2,0,0,male,
Andy Yen,Secure email developer,male,4,0,1,male,
Angelo Vermeulen,"Space researcher, biologist, artist",male,13,0,1,male,
Anil Ananthaswamy,Science writer,male,5,0,0,male,
Anil Gupta,Innovation advocate,male,2,0,1,male,
Anote Tong,President of the Republic of Kiribati,male,9,0,0,male,
Kwame Anthony Appiah,Philosopher,male,4,0,1,male,
Anthony Atala,Surgeon,male,3,0,1,male,
Antonio Damasio,Neuroscientist,male,3,0,0,male,
Antonio Donato Nobre,Scientist,male,4,0,0,male,
Antê_nio Guterres,United Nations High Commissioner for Refugees,male,9,0,0,male,
Anupam Mishra,Environmental activist,male,3,0,1,male,
Apollo Robbins,Gentleman thief,male,8,0,1,male,
Aris Venetikidis,Mapmaker,male,2,0,0,male,
Arthur Benjamin,Mathemagician,male,9,0,0,male,
Arthur Brooks,"Social scientist, author ",male,4,0,0,male,
Arthur Ganson,Sculptor,male,6,0,0,male,
Arthur Potts Dawson,Green chef,male,7,0,0,male,
Arunachalam Muruganantham,Inventor,male,2,0,0,male,
Arvind Gupta,Toymaker,male,4,0,0,male,
Ashraf Ghani,President-elect of Afghanistan,male,12,0,0,male,
Astro Teller,"Entrepreneur, inventor, author",male,2,0,0,male,
Atul Gawande,Surgeon and journalist,male,4,0,1,male,
Aubrey de Grey,Crusader against aging,male,10,0,2,male,
Auke Ijspeert,Roboticist,male,2,0,0,male,
Auret van Heerden,Labor-rights activist,male,3,0,0,male,
Avi Reichental,3D printer,male,3,1,0,male,
Avi Rubin,Computer security expert,male,4,0,0,male,
Aziz Abu Sarah,Entrepreneur + educator,male,6,0,2,male,
Baba Shiv,Neuroeconomist,male,3,0,1,male,
Bandi Mbubi,Social Justice Activist,male,4,0,0,male,
Barat Ali Batoor,Photojournalist,male,6,0,0,male,
Barry Schuler,Entrepreneur,male,6,0,0,male,
Barry Schwartz,Psychologist,male,4,0,2,male,
Bart Knols,Malariologist,male,2,0,0,male,
Barton Seaver,Chef,male,8,0,0,male,
Bassam Tariq,Creative spirit,male,5,0,2,male,
Bastian Schaefer,Aircraft engineer,male,3,0,0,male,
Beardyman,Beatboxer and inventor,male,7,0,0,male,
Ben Ambridge,Psychologist,male,5,0,0,male,
Ben Cameron,Arts administrator,male,2,0,0,male,
Ben Dunlap,College president,male,6,0,0,male,
Ben Goldacre,Debunker,male,5,0,0,male,
Ben Kacyra,Digital preservationist,male,4,0,2,male,
Ben Katchor,Cartoonist,male,3,0,1,male,
Ben Roche,Chef,male,2,0,0,male,
Ben Saunders,Arctic explorer,male,11,0,2,male,
Ben Wellington,Data scientist,male,6,0,0,male,
Benjamin Barber,Political theorist,male,4,0,2,male,
Benjamin Wallace,Author,male,8,0,3,male,
Benjamin Zander,Conductor,male,6,0,2,male,
Benoit Mandelbrot,Mathematician,male,3,0,0,male,
Bertrand Piccard,Solar adventurer,male,3,0,1,male,
Bilal Bomani,NASA scientist,male,6,0,0,male,
Bill Clinton,Activist,male,8,0,1,male,
Bill Davenhall,Health and human services expert,male,2,0,1,male,
Bill Doyle,Engineer,male,1,0,1,male,
Bill Ford,"Executive chair, Ford Motor Co.",male,9,0,0,male,
Bill Gates,Philanthropist,male,12,0,2,male,
Bill Gross,Idea guy,male,6,0,0,male,
Bill Joy,Technologist and futurist,male,9,0,0,male,
Bill Stone,"Explorer, inventor and outer space dreamer",male,7,0,0,male,
Bill Strickland,Social innovator,male,6,0,0,male,
Bill T. Jones,"Director/choreographer, dancer",male,8,0,0,male,
Billy Collins,Poet,male,7,0,0,male,
Billy Graham,Preacher,male,9,0,0,male,
Birke Baehr,Aspiring organic farmer,male,5,0,0,male,
BJ Miller,Palliative caregiver,male,6,0,2,male,
Bjarke Ingels,Architect,male,4,0,1,male,
Bjorn Lomborg,Global prioritizer,male,7,0,1,male,
BLACK,Yo-yo champion,male,11,0,0,male,
Blaise Agê_era y Arcas,Software architect,male,11,0,2,male,
Boaz Almog,Quantum Researcher,male,1,0,0,male,
Bob Mankoff,Cartoon editor,male,9,0,0,male,
Robert Thurman,Buddhist scholar,male,3,0,0,male,
Bobby Ghosh,Editor,male,6,0,0,male,
Bono,"Musician, activist",male,13,0,3,male,
Boyd Varty,Environmental and literacy activist,male,1,0,0,male,
David Steindl-Rast,Monk,male,3,0,0,male,
Brewster Kahle,Digital librarian,male,8,0,2,male,
Brian Cox,Physicist ,male,4,0,1,male,
Brian Dettmer,,male,3,0,0,male,
Brian Goldman,"Physician, broadcaster",male,5,0,0,male,
Brian Greene,Physicist,male,4,0,0,male,
Brian Skerry,Photographer,male,7,0,0,male,
Bruce Aylward,Epidemiologist,male,2,0,0,male,
Bruce Bueno de Mesquita,Political scientist,male,5,0,0,male,
Bruce Feiler,Writer,male,7,0,0,male,
Bruce McCall,Humorist,male,6,0,1,male,
Bruce Schneier,Security expert,male,4,0,1,male,
Bruno Bowden,Engineer and origamist,male,1,0,0,male,
Bryan Stevenson,Public-interest lawyer,male,3,0,0,male,
Burt Rutan,Aircraft engineer,male,9,0,0,male,
C.K. Williams,Poet,male,12,0,1,male,
Caleb Chung,Toy designer,male,3,0,0,male,
Caleb Harper,Principal Investigator and Director of the Open Agriculture Initiative,male,4,0,1,male,
Cameron Sinclair,"Co-founder, Architecture for Humanity",male,3,0,1,male,
Carl Honore,Journalist,male,6,0,2,male,
Carl Safina,"Ecologist, writer",male,4,0,0,male,
Carl Schoonover,Neuroscience PhD student + writer,male,4,0,1,male,
Carlo Ratti,Architect and engineer,male,1,0,1,male,
Carter Emmart,"Scientist, Artist ",male,7,0,1,male,
Cary Fowler,Biodiversity archivist,male,1,0,0,male,
Cesar Harada,"Inventor, environmentalist, educator",male,4,0,0,male,
Cesar Kuriyama,Video maker,male,8,0,1,male,
Chade-Meng Tan,Google Fellow,male,6,0,0,male,
Charles Anderson,Marine biologist,male,3,0,0,male,
Charles Elachi,Planetary scientist,male,4,0,1,male,
Charles Fleischer,"Comedian, voice artist",male,8,0,0,male,
Charles Hazlewood,Conductor,male,11,0,1,male,
Charles Leadbeater,Innovation consultant,male,6,0,2,male,
Charles Limb,Researcher,male,4,0,1,male,
Charles Moore,Oceanographer,male,4,0,0,male,
Charles Robertson,Emerging-markets economist,male,3,0,0,male,
Charlie Todd,Comedian,male,4,0,2,male,
Chip Conley,"CEO, author",male,11,0,3,male,
Chip Kidd,Graphic designer,male,4,0,0,male,
Chris Abani,"Novelist, poet",male,6,0,0,male,
Chris Anderson,Drone maker,male,4,0,1,male,
Chris Bangle,Car designer,male,8,0,0,male,
Chris Bliss,Writer,male,1,0,0,male,
Chris Domas,Cybersecurity researcher,male,9,0,0,male,
Chris Downey,Architect,male,4,0,0,male,
Christopher Emdin,Education pioneer,male,1,0,0,male,
Chris Gerdes,Mechanical engineer,male,2,0,0,male,
Chris Hadfield,Astronaut,male,10,0,0,male,
Chris Jordan,Artist,male,3,0,0,male,
Chris Kluwe,Punter and author,male,7,0,0,male,
Chris McKnett,Sustainable investment champion,male,1,0,1,male,
Chris Milk,Immersive storyteller,male,3,0,0,male,
Chris Urmson,Roboticist,male,3,0,1,male,
Christoph Adami,Artificial life researcher,male,5,0,0,male,
Christopher C. Deam,Designer,male,4,0,0,male,
Christopher McDougall,"Journalist, runner",male,4,0,0,male,
Christopher Ryan,Psychologist,male,2,0,1,male,
Christopher Soghoian,Privacy researcher + activist,male,4,0,0,male,
Clay Shirky,Social Media Theorist,male,5,0,0,male,
Clifford Stoll,"Astronomer, educator, skeptic",male,8,0,0,male,
Clint Smith,"Poet, teacher",male,3,0,0,male,
Colin Camerer,Behavioral economist,male,5,0,2,male,
Colin Grant,"Author, historian",male,5,0,0,male,
Colin Powell,Former U.S. Secretary of State,male,5,0,0,male,
Colin Stokes,Proud dad,male,8,0,0,male,
Corneille Ewango,Botanist and activist,male,7,0,0,male,
Cosmin Mihaiu,Physical therapy entrepreneur,male,4,0,2,male,
Curtis Wong,Researcher,male,3,0,0,male,
Damian Palin,Biological miner,male,2,0,0,male,
Damon Horowitz,"Philosopher, entrepreneur",male,4,0,0,male,
Dan Ariely,Behavioral economist,male,4,0,1,male,
Dan Barber,Chef,male,2,0,0,male,
Daniel H. Cohen,Philosopher,male,1,0,0,male,
Dan Dennett,"Philosopher, cognitive scientist",male,15,0,2,male,
Dan Ellsey,Musician,male,10,0,1,male,
Dan Gilbert,Psychologist; happiness expert,male,18,0,1,male,
Daniel Goldstein,Behavioral economist,male,2,0,0,male,
Dan Gross,Gun-control activist,male,2,0,0,male,
Dan Meyer,Educator,male,2,0,1,male,
Dan Pallotta,"Author, speaker, reformer",male,5,0,1,male,
Dan Barasch,Strategist,male,7,1,0,male,
Daniel Goleman,Psychologist,male,1,0,1,male,
Daniel Kahneman,Behavioral economics founder,male,6,0,3,male,
Daniel Kish,Perceptual navigation specialist,male,6,0,1,male,
Daniel Kraft,Physician scientist,male,5,0,1,male,
Daniel Levitin,Neuroscientist,male,7,0,0,male,
Daniel Libeskind,Architect,male,14,0,0,male,
Daniel Pauly,Fisheries biologist,male,1,0,0,male,
Dan Pink,Career analyst,male,2,0,0,male,
Daniel Reisel,Neuroscientist,male,4,0,0,male,
Daniel Suarez,Sci-fi author,male,1,0,0,male,
Daniel Tammet,"Linguist, educator",male,8,0,0,male,
Daniel Wolpert,Movement expert,male,4,0,0,male,
Daniele Quercia,Map researcher,male,13,0,0,male,
Danny Hillis,Computer theorist,male,8,0,0,male,
Dave deBronkart,e-Patient,male,4,0,1,male,
Dave Eggers,"Author, publisher, education activist",male,8,0,1,male,
Dave Isay,Story collector,male,2,0,1,male,
Dave Meslin,Artist and organizer,male,10,0,2,male,
Dave Troy,Technologist,male,6,0,0,male,
David Anderson,Neurobiologist,male,2,0,1,male,
David Binder,Theater producer,male,1,0,0,male,
David Birch,Digital money and identity consultant,male,4,0,0,male,
David Blaine,"Illusionist, endurance artist",male,6,0,0,male,
David Bolinsky,Medical animator,male,5,0,0,male,
David Brooks,Columnist,male,1,0,1,male,
David Byrne,"Musician, artist, writer",male,10,0,2,male,
David Cameron,Politician,male,7,0,0,male,
David Carson,Type designer,male,3,0,0,male,
David Chalmers,Philosopher,male,5,0,1,male,
David Christian,Historian,male,4,0,0,male,
David Deutsch,Quantum physicist,male,8,0,1,male,
David Eagleman,Neuroscientist,male,2,0,1,male,
David Gallo,Oceanographer,male,6,0,0,male,
David Grady,Information security manager,male,4,0,0,male,
David Griffin,"Director of photography, National Geographic",male,3,0,0,male,
David Gruber,"Marine biologist, explorer-photographer",male,4,0,0,male,
David Hanson,Robotics designer,male,3,0,0,male,
David Hoffman,Filmmaker,male,11,0,1,male,
David Holt,Folk musician,male,11,0,0,male,
David Keith,Environmental scientist,male,5,0,0,male,
David Kelley,"Designer, educator",male,11,0,2,male,
David Kwong,Cruciverbalist,male,3,0,0,male,
David Lang,Maker,male,2,0,1,male,
David Logan,Professor of management,male,6,0,0,male,
David Macaulay,Illustrator,male,8,0,1,male,
David MacKay,Professor,male,4,0,0,male,
David McCandless,Data journalist,male,3,0,1,male,
David Merrill,MIT grad student,male,9,0,0,male,
David Perry,Game designer,male,3,0,0,male,
David Pizarro,"Psychologist, Disgust researcher",male,2,0,0,male,
David Pogue,Technology columnist,male,5,0,0,male,
David Puttnam,Producer,male,6,0,0,male,
David R. Dow,Death penalty lawyer,male,3,0,0,male,
David Rockwell,"Architect, experience designer",male,11,0,0,male,
David Rothkopf,Foreign policy strategist,male,2,0,1,male,
David S. Rose,Angel Investor,male,8,0,0,male,
David Sedlak,Civil and environmental engineer,male,7,0,0,male,
David Sengeh,Biomechatronics engineer,male,2,0,1,male,
Dean Kamen,Inventor,male,8,0,0,male,
Deb Roy,Cognitive scientist,male,4,0,1,male,
Denis Dutton,Philosopher,male,8,0,0,male,
Dennis Hong,Roboticist ,male,5,0,0,male,
Derek Paravicini,Musician,male,11,0,1,male,
Derek Sivers,Entrepreneur,male,8,0,2,male,
Diê©bê©do Francis Kê©rê©,Community-minded architect,male,12,0,1,male,
Dimitar Sasselov,Astronomer,male,1,0,0,male,
Don Levy,Film executive,male,6,0,0,male,
Don Norman,Cognitive scientist and design critic,male,9,0,2,male,
Don Tapscott,Digital strategist,male,8,0,0,male,
Donald Hoffman,Cognitive scientist,male,1,0,0,male,
Donald Sadoway,Materials engineer,male,1,0,0,male,
Dong Woo Jang,Bow designer,male,19,0,2,male,
Dean Ornish,"Physician, author",male,6,0,2,male,
Drew Berry,Biomedical animator,male,2,0,0,male,
Drew Curtis,Web entrepreneur,male,2,0,0,male,
Drew Dudley,Leadership educator,male,4,0,0,male,
Dustin Yellin,Sculptor ,male,5,0,0,male,
E.O. Wilson,Biologist,male,10,0,1,male,
Eames Demetrios,Artist,male,1,0,0,male,
Ed Boyden,Neuroengineer,male,5,0,1,male,
Ed Gavagan,"Designer, Storyteller",male,6,0,0,male,
Ed Ulbrich,Visual storyteller,male,3,0,0,male,
Ed Yong,Science writer,male,3,0,1,male,
Eddy Cartaya,Cave Explorer,male,3,0,1,male,
Edi Rama,Politician,male,3,0,0,male,
Eduardo Sêçenz de Cabezê_n,Math educator,male,2,0,0,male,
Edward Burtynsky,Photographer,male,18,0,2,male,
Edward Snowden,Whistleblower,male,8,0,0,male,
Edward Tenner,Historian of technology and culture,male,5,0,0,male,
eL Seed,Calligraffiti artist,male,11,0,0,male,
Eli Beer,Life saver,male,6,0,2,male,
Eli Pariser,Organizer and author,male,3,0,0,male,
Elon Musk,Serial entrepreneur,male,2,0,0,male,
Emmanuel Jal,Hip-hop artist,male,10,0,1,male,
Enric Sala,Marine ecologist,male,6,0,1,male,
Enrique Peê±alosa,"Colombian politician, urban activist",male,6,0,0,male,
Erez Lieberman Aiden,Researcher,male,2,0,0,male,
Eric Berlow,Ecologist,male,3,0,0,male,
Eric Dishman,Social scientist,male,8,0,0,male,
Eric Mead,Magician,male,9,0,0,male,
Eric Topol,Cardiologist and geneticist ,male,3,0,0,male,
Eric Whitacre,"Composer, conductor",male,11,0,0,male,
Eric X. Li,Investor and political scientist,male,8,0,0,male,
Erik Brynjolfsson,Innovation researcher,male,2,0,0,male,
Erik Hersman,"Blogger, technologist",male,6,0,0,male,
Erik Johansson,Photographer and retoucher,male,1,0,0,male,
Erik Schlangen,Experimental micromechanics pioneer,male,4,0,0,male,
Ernest Madu,Cardiologist,male,5,0,0,male,
Ernesto Sirolli,Sustainable development expert,male,2,0,1,male,
Ethan Nadelmann,Drug policy reformer,male,1,0,0,male,
Ethan Zuckerman,"Blogger, digital visionary",male,4,0,0,male,
Euvin Naidoo,Investment banker,male,4,0,1,male,
Evan Williams,Twitter co-founder,male,2,0,1,male,
Evgeny Morozov,Internet scientist,male,2,0,0,male,
Fabian Hemmert,Designer,male,4,0,2,male,
Fabian Oefner,Photographer,male,5,0,1,male,
Fahad Al-Attiya,Food security expert,male,6,0,0,male,
Felix Dennis,"Publisher, philanthropist, poet",male,8,0,0,male,
Fiorenzo Omenetto,Biomedical engineer,male,3,0,0,male,
Francesco Sauro,Speleologist,male,4,0,2,male,
Francis Collins,"Geneticist, physician",male,2,0,0,male,
Francis de los Reyes,"Environmental engineer, sanitation activist",male,3,0,0,male,
Frank Gehry,Architect,male,8,0,2,male,
Frans de Waal,Primatologist,male,8,0,1,male,
Frans Lanting,Nature photographer,male,5,0,2,male,
Fred Jansen,Space explorer,male,1,0,1,male,
Frederic Kaplan,Digital humanities researcher,male,2,0,0,male,
Freeman Dyson,Physicist,male,10,0,1,male,
Freeman Hrabowski,Educator,male,4,0,0,male,
Gabriel Barcia-Colombo,Video sculptor,male,5,0,1,male,
Gabriel Barcia-Colombo,Video sculptor,male,5,0,1,male,
Garik Israelian,Astrophysicist,male,5,0,1,male,
Garrett Lisi,Physicist,male,3,0,0,male,
Garth Lenz,Photographer,male,7,0,0,male,
Gary Flake,Technologist,male,3,0,0,male,
Gary  Greenberg,Micro photographer,male,2,0,1,male,
Gary Haugen,Human rights attorney,male,2,0,0,male,
Gary Kovacs,,male,4,0,0,male,
Gary Lauder,Venture capitalist,male,8,0,0,male,
Gary Slutkin,Epidemiologist,male,4,0,0,male,
Gary Wolf,Journalist,male,4,0,0,male,
Gavin Pretor-Pinney,Cloudspotter,male,4,0,0,male,
Gavin Schmidt,Climate scientist,male,4,0,1,male,
Ge Wang,Music technologist,male,3,0,1,male,
Geert Chatrou,Whistler,male,12,0,0,male,
Geoff Mulgan,Social commentator,male,3,0,0,male,
Geoffrey Canada,Education reformer,male,8,0,2,male,
Geoffrey West,Theorist,male,9,0,0,male,
George Dyson,Historian of science,male,2,0,1,male,
George Monbiot,Rewilding campaigner,male,9,0,0,male,
George Papandreou,Former Prime Minister of Greece,male,8,0,0,male,
George Smoot,Astrophysicist,male,4,0,0,male,
George Takei,Actor and activist,male,4,0,0,male,
George Whitesides,Chemist,male,4,0,0,male,
Gero Miesenboeck,Optogeneticist,male,6,0,3,male,
Gian Giudice,Theoretical physicist,male,3,0,0,male,
Glenn Greenwald,Journalist,male,3,0,0,male,
Golan Levin,Experimental audio-visual artist,male,6,0,0,male,
Gordon Brown,British Prime Minister,male,6,0,0,male,
Graham Hawkes,Inventor,male,5,0,2,male,
Graham Hill,Journalist,male,6,0,2,male,
Greg Asner,Airborne ecologist,male,2,0,0,male,
Greg Gage,Neuroscientist,male,4,0,1,male,
Greg Lynn,Designer,male,3,0,1,male,
Greg Stone,Oceanographer,male,4,0,0,male,
Grê©goire Courtine,Spinal cord researcher,male,2,0,0,male,
Gregory Heyworth,Textual scientist,male,3,0,0,male,
Gregory Stock,"Author, thinker",male,4,0,0,male,
Guillaume Nê©ry,World champion freediver,male,18,0,4,male,
Guy Hoffman,Roboticist,male,4,0,2,male,
Guy-Philippe Goldstein,Author,male,2,0,0,male,
Guy Winch,"Psychologist, author",male,4,0,1,male,
Hadyn Parry,Biotechnology entrepreneur,male,2,0,0,male,
Hamish Jolly,"Inventor, ocean swimmer",male,4,0,0,male,
Hans Rosling,Global health expert; data visionary,male,13,0,2,male,
Harald Haas,Communications technology innovator,male,5,0,0,male,
Harish Manwani,"COO, Unilever",male,14,0,0,male,
Harry Baker,Poet,male,4,0,1,male,
Harry Cliff,Particle physicist,male,1,0,1,male,
Harsha Bhogle,Cricket commentator,male,4,0,1,male,
Harvey Fineberg,Health policy expert,male,4,0,0,male,
Hasan Elahi,Privacy artist,male,14,0,2,male,
Hector Ruiz,CEO,male,3,0,0,male,
Helder Guimarê£es,Magician,male,7,0,0,male,
Hendrik Poinar,Evolutionary geneticist,male,11,0,0,male,
Henry Evans,Robotics activist,male,9,0,1,male,
Henry Lin,Student scientist,male,3,0,0,male,
Henry Markram,Neuroscientist,male,2,0,1,male,
Herbie Hancock,Jazz legend,male,14,0,0,male,
Heribert Watzke,Food scientist,male,5,0,0,male,
Hetain Patel,Artist,male,7,0,0,male,
Hillel Cooperman,"Entrepreneur, Lego enthusiast",male,1,0,1,male,
His Holiness the Karmapa,Spiritual leader,male,9,0,0,male,
Homaro Cantu,Chef,male,11,0,0,male,
Howard Rheingold,Digital community builder,male,7,0,0,male,
Hubertus Knabe,Historian,male,3,0,0,male,
Hugh Evans,Humanitarian,male,1,0,0,male,
Iain Hutchison,Facial surgeon,male,6,0,0,male,
Ian Dunbar,Animal behaviorist,male,6,0,3,male,
Ian Goldin,"Economist, development visionary",male,3,0,1,male,
Ian Ritchie,Software entrepreneur,male,3,0,0,male,
