author,occupation,description,gender
Annie Lennox,"Activist, singer-songwriter","The most successful female British pop musician in history, Annie Lennox has now committed herself to raising awareness of, and supporting actions against, the HIV/AIDS crisis in Africa.",female
Annie Murphy Paul,Science author,Annie Murphy Paul investigates how life in the womb shapes who we become.,female
AnnMarie Thomas,Educator,AnnMarie Thomas works on the playful side of engineering _ã using cool tools to teach and help others.,female
Aomawa Shields,"Astronomer, astrobiologist, actor, writer",Aomawa Shields studies the climate and habitability of planets outside of the Solar System.,female
Aparna Rao,Artist,"A part of the Bangalore-based artist duo Pors & Rao, TED Senior Fellow Aparna Rao works with electro-mechanical systems and interactive installations.",female
Arianna Huffington,Journalist,"Arianna Huffington is the co-founder and editor-in-chief of The Huffington Post, a nationally syndicated columnist, and author of thirteen books. She is the co-host of _ãLeft, Right & Center,_ã a political roundtable radio program.",female
Ariel Garten,"Artist, scientist and entrepreneur","As CEO of InteraXon, Ariel Garten works to close the gap between science, art, business and technology.",female
Ash Beckham,Equality advocate,Ash Beckham approaches hard conversations from a place of compassion and empathy.  ,female
Asha de Vos,Protector of whales,"Dedicated to increasing awareness about Northern Indian Ocean blue whales, Asha de Vos is also committed to inspiring the next generation of marine biologists.",female
Aspen Baker,Listener,"As abortion debates have turned black-and-white, Aspen Baker advocates being ""pro-voice"" _ã listening respectfully and compassionately to all kinds of experiences.",female
Audrey Choi,Sustainable investment expert,Audrey Choi is a thought leader on how finance can be harnessed to address public policy challenges.,female
Ayah Bdeir,Engineer and artist,"Ayah Bdeir is an engineer and artist, and is the founder of littleBits and karaj, an experimental art, architecture and technology lab in Beirut.",female
Aziza Chaouni,Architect + ecotourism specialist,"Aziza Chaouni focuses on projects that integrate architecture and landscape, and that ultimately give back to their communities. For years, she has worked to revive the Fez River, which runs through her hometown of Fez, Morocco.",female
Bahia Shehab,Artist and historian,"TED Fellow Bahia Shehab sends an important message through her street art in Cairo: _ãYou can crush the flowers, but you can_ã_t delay spring.""",female
Barbara Natterson-Horowitz,Cardiologist,"Barbara Natterson-Horowitz, Professor of Medicine in the Division of Cardiology at UCLA Medical School, provides a unique perspective on how human well-being, including mental health, can be improved by insights into animal health. ",female
Bê©atrice Coron,Papercutter artist,Bê©atrice Coron has developed a language of storytelling by papercutting multi-layered stories.,female
Becky Blanton,Writer,"Becky Blanton is a writer, photographer and former journalist who found herself homeless, but bounced back to tell her story and inspire others. ",female
Bel Pesce,Entrepreneur,"Bel Pesce left Brazil to study at MIT. But after a successful stint in Silicon Valley, she returned to inspire others with great ideas in her country to make them a reality.",female
Benedetta Berti,International policy analyst,Benedetta Berti aims to understand when and why armed groups get involved in politics _ã and the implications this has for governments. ,female
Beth Noveck,Open-government expert,"A lawyer by training and a techie by inclination, Beth Noveck works to build data transparency into government.",female
Billie Jean King,Tennis legend and activist,"Billie Jean King won 39 Grand Slam titles during her tennis career, and has long been a pioneer for equality and social justice.",female
Boghuma Kabisen Titanji,Clinical researcher,"Boghuma Kabisen Titanji set out to research HIV drug resistant viruses. In the process, Titanji met a woman who changed the way she thinks about research subjects.",female
Bonnie Bassler,Molecular biologist,"Bonnie Bassler studies how bacteria can communicate with one another, through chemical signals, to act as a unit. Her work could pave the way for new, more potent medicine.",female
Brenda Romero,Game designer,"Brenda Romero designs games that turn some of history's most tragic lessons into interactive, emotional experiences.",female
Brenda Laurel,Designer and theorist,"Brenda Laurel has been part of several major revolutions in the way humans use computers: virtual reality, interactive narratives and some fresh approaches to gaming.",female
