author,occupation,description,gender
Liz Diller,Designer,"Liz Diller and her maverick firm DS+R bring a groundbreaking approach to big and small projects in architecture, urban design and art _ã playing with new materials, tampering with space and spectacle in ways that make you look twice.",female
Mena Trott,"Blogger; cofounder, Six Apart","Mena Trott and her husband Ben founded Six Apart in a spare bedroom after the blogging software they developed grew beyond a hobby. With products Movable Type, TypePad, LiveJournal and Vox, the company has helped lead the ""social media"" revolution.",female
Paula Johnson,Women's-health expert,Dr. Paula Johnson is a pioneer in looking at health from a woman's perspective. ,female
Rita F. Pierson,Educator,"Rita F. Pierson spent her entire life in or around the classroom, having followed both her parents and grandparents into a career as an educator. ",female
Robin Chase,Transport networker,"With Zipcar, Robin Chase introduced car-crazy America to the concept of non-ownership. Now she's flipping that model with Buzzcar, which lets you rent your own auto to your neighbors.",female
Rose Goslinga,Microinsurer,"Rose Goslinga isn_ã_t your typical insurance salesperson. Through the Syngenta Foundation, her team developed insurance solutions to assist small-scale farmers in Africa, to safeguard their crops in case of droughts.",female
Sharmeen Obaid-Chinoy,Filmmaker,"Sharmeen Obaid-Chinoy makes documentary films. She's the founder of the Citizens Archive of Pakistan, dedicated to preserving Pakistan's history.",female
Susan Cain,Quiet revolutionary,"Our world prizes extroverts_ãbut Susan Cain makes a case for the quiet and contemplative. She reaches millions of people through her books, podcasts and her mission-based organization, Quiet Revolution, which empowers introverts for the benefit of everyone.",female
Heather Barnett,Artist,"Heather Barnett creates art with slime mold _ã a material used in diverse areas of scientific research, including biological computing, robotics and structural design.",female
Kim Gorgens,Neuropsychologist,Kim Gorgens studies the brain's response to injury _ã and advocates that we mind our (gray) matter.,female
Natasha Tsakos,Artist,"The president and founder of NTiD inc., Natasha Tsakos brings a creative, innovative vision, and the art of orchestrating and synchronizing various disciplines, to the execution of high-leveled productions.",female
Severine Autesserre,Peace and conflict researcher,"Severine Autesserre traces civil war and endemic violence to its roots, and its resolution, in local and interpersonal conflicts.",female
Shilo Shiv Suleman,Artist,"Shilo Shiv Suleman is an illustrator, storyteller and iPad book creator.",female
Shukla Bose,Education activist,"Shukla Bose is the founder and head of the Parikrma Humanity Foundation, a nonprofit that runs four extraordinary schools for poor children.",female
Ameera Harouda,Fixer,Ameera Harouda leads journalists to the harrowing (and often hidden) stories of the Gaza Strip that they couldn_ã_t find on their own.,female
Anna Mracek Dietrich,Inventor,"Anna Mracek Dietrich is one of the creators of the Transition, the ""plane you can drive.""",female
Annette Heuser,Rating agency reformer,Annette Heuser proposes critical reforms to loosen the iron grip of rating agencies on national credit scores.,female
Emma Teeling,Zoologist,"Emma Teeling, Director of the Centre for Irish Bat Research, thinks we have a lot to learn from the biology of bats.",female
Fei-Fei Li,Computer scientist,"As Director of Stanford_ã_s Artificial Intelligence Lab and Vision Lab, Fei-Fei Li is working to solve AI_ã_s trickiest problems _ã including image recognition, learning and language processing.",female
Gail Reed,Cuban health care expert,American journalist and Havana resident Gail Reed spotlights a Cuban medical school that trains doctors from low-income countries who pledge to serve communities like their own.,female
Kitra Cahana,Vagabond photojournalist + conceptual artist,Kitra Cahana is a Canadian photographer who blurs the line between anthropologist and journalist.,female
Marla Spivak,Bees scholar,"Marla Spivak researches bees_ã_ behavior and biology in an effort to preserve this threatened, but ecologically essential, insect.",female
Melissa Fleming,Voice for refugees,"As head of communications for the UN's High Commissioner for Refugees, Melissa Fleming sheds light on their devastating plight and remarkable resilience.",female
Mia Birdsong,Family activist,Mia Birdsong advocates for strong communities and the self-determination of everyday people.,female
Myriam Sidibe,Public-health expert,"Dr. Myriam Sidibe promotes hand-washing with soap, setting up partnerships with governments, companies and communities to promote this simple, cheap, powerful disease-fighting tactic.",female
Ory Okolloh,Blogger and activist,"Ory Okolloh maintains the blog Mzalendo, providing an unprecedented look at the doings of Kenya's parliament _ã information once unavailable to Kenyan citizens.",female
Rebecca Onie,Health services innovator,"Rebecca Onie is the founder of Health Leads, a program that connects patients to basic care and resources, such as food and housing, that are the root cause of many health problems.",female
Sally Kohn,Political pundit,Sally Kohn searches for common ground among political foes by focusing on the compassion and humanity in everyone.,female
Sophie Scott,"Neuroscientist, stand-up comic","While exploring the neuroscience of speech and vocal behavior, Sophie Scott stumbled upon a surprising second vocation: making audiences laugh as a stand-up comic.",female
Susan Etlinger,Data analyst,"Susan Etlinger promotes the smart, well-considered and ethical use of data.",female
Ali Carr-Chellman,Instructional designer,Ali Carr-Chellman is an instructional designer and author who studies the most effective ways to teach kids and to make changes at school.,female
Angela Patton,Activist,"Angela Patton is the creator of Camp Diva, which helps support ""at-promise"" girls ages 11-17.",female
Angê©lica Dass,Artist and photographer,"By cataloging every conceivable human skin tone, Angê©lica Dass illustrates that skin color and race are more complex than they might appear at first glance.",female
Ann Cooper,Lunch lady,"Ann Cooper cares _ã a lot _ã what kids eat for lunch. As the head of nutrition for Berkeley, California, schools, she serves organic, regionally sourced and sustainable meals to lots of lucky children.",female
Barbara Block,Marine biologist,"Barbara Block studies how tuna, billfish and sharks move around (and stay warm) in the open ocean. Knowing how these large predators travel through pelagic waters will help us understand their role in the wider ocean ecosystem.",female
Carin Bondar,Wild sex biologist,Carin Bondar is an expert on the sexual life of animals _ã and loves to tell their wild sex stories.,female
Carolyn Steel,Food urbanist,"Food is a shared necessity _ã but also a shared way of thinking, argues Carolyn Steel. Looking at food networks offers an unusual and illuminating way to explore how cities evolved.",female
Deborah Scranton,Filmmaker,"The director of the award-winning documentary The War Tapes, Deborah Scranton is committed to using new technology to give people power to tell their own stories. ",female
Dee Boersma,Conservation biologist,"Dee Boersma considers penguins ocean sentinels, helping us understand the effects of pollution, overfishing and climate change on the marine environment. ",female
Denise Herzing,Dolphin researcher,"Denise Herzing has spent almost three decades researching and communicating with wild dolphins in their natural setting and on their own terms. The book ""Dolphin Diaries"" tells her remarkable story.",female
Diana Reiss,Cognitive psychologist,"Diana Reiss studies animal cognition, and has found that bottlenose dolphins (and Asian elephants) can recognize themselves in the mirror.",female
Doris Kim Sung,Architect,"Doris Kim Sung is a biology student turned architect interested in thermo-bimetals, smart materials that respond dynamically to temperature change.",female
Elizabeth Loftus,False memories scholar,Memory-manipulation expert Elizabeth Loftus explains how our memories might not be what they seem _ã and how implanted memories can have real-life repercussions.,female
Ellen  Gustafson,Social entrepreneur,"Co-founder of FEED and creator of The 30 Project, Ellen Gustafson is trying to change the way the world eats.",female
Eman Mohammed,Photojournalist,Saudi-born Eman Mohammed is a photojournalist in Gaza.,female
Esther Duflo,Development economist,Esther Duflo takes economics out of the lab and into the field to discover the causes of poverty and means to eradicate it.,female
Janet Iwasa,Molecular animator,,female
Janette Sadik-Khan,City transportation expert,"As commissioner of the NYC Department of Transportation under the Bloomberg administration, Janette Sadik-Khan was responsible for the smooth running of a New York that hides in plain sight ... the streets, highways, bridges, signs and lights.",female
Jennifer Kahn,Science journalist,"In articles that span the gene-editing abilities of CRISPR, the roots of psychopathic behavior in children, and much more, Jennifer Kahn weaves gripping stories from unlikely sources.",female
Jessica Jackley,Microlender,"Jessica Jackley is the co-founder of Kiva.org, an online community that helps individuals loan small amounts of money, called microloans, to entrepreneurs throughout the world.",female
Jill Farrant,Professor of molecular and cell biology,Jill Farrant is leading the development of drought-tolerant crops to nourish populations in arid climates.,female
Alison Gopnik,Child development psychologist,"Alison Gopnik takes us into the fascinating minds of babies and children, and shows us how much we understand before we even realize we do.",female
Cheryl Hayashi,Spider silk scientist,"Cheryl Hayashi studies the delicate but terrifically strong silk threads that make up a spider's web, finding startling applications for human use. ",female
Fields Wicker-Miurin,Social entrepreneur,"Fields Wicker-Miurin wants to improve the quality and impact of leadership worldwide by discovering leaders in unique, local settings and connecting them with one another.",female
Janine Benyus,"Science writer, innovation consultant, conservationist","A self-proclaimed nature nerd, Janine Benyus' concept of biomimicry has galvanized scientists, architects, designers and engineers into exploring new ways in which nature's successes can inspire humanity. ",female
Joy Sun,veteran aid worker,TED Fellow Joy Sun helped to launch a rare type of charity. GiveDirectly lets donors transfer money directly into the hands of impoverished people _ã empowering them to set their own goals and priorities.,female
Krista Donaldson,Engineer,"Krista Donaldson is the CEO of D-Rev, a non-profit product development company improving the health and incomes of people around the world.",female
Laura Robinson,Ocean scientist,Dr. Laura Robinson's scientific mission is to document and understand the processes that govern climate.,female
Melissa Marshall,Communications teacher,"Melissa Marshall aims to teach great communication skills to scientists and engineers, so that they can effectively share their work.",female
Pam  Warhurst,"Cofounder, Incredible Edible","Pam Warhurst cofounded Incredible Edible, an initiative in Todmorden, England dedicated to growing food locally by planting on unused land throughout the community.",female
Rupal Patel,Speech scientist,"People relying on synthetic speech use the voice they_ã_re given, not their own. Rupal Patel created the vocaliD project to change that.",female
Isabel Behncke Izquierdo,Primatologist,TED Fellow Isabel Behncke Izquierdo studies the social behavior (and play behavior in particular) of wild bonobos in DR Congo.,female
Marisa Fick-Jordan,"Craft artist, product designer","South African product designer Marisa Fick-Jordan works with Zulu wire artists to develop a sustainable, worldwide market for their bold and shimmering work.",female
Quyen Nguyen,Surgeon,"Quyen Nguyen uses molecular probes that make tumors _ã and just the tumors _ã glow, as an extraordinary aid to surgeons.",female
Ivan Coyote,"Writer, performer",Ivan Coyote believes that a good story can help inspire us to invent a better future.,gender non-binary
Antony Gormley,Sculptor,Antony Gormley's work plays with the human form in space.,male
Boniface Mwangi,,"Boniface Mwangi is an award-winning Kenyan photographer, artist and activist. He is a TED Fellow.",male
John Searle,Philosopher,"John Searle has made countless contributions to contemporary thinking about consciousness, language, artificial intelligence and rationality itself.",male
Malte Spitz,Politician and Data Activist,Malte Spitz asked his cell phone carrier what it knew about him_ãand mapped what he found out.,male
Mitchell Besser,HIV/AIDS fighter,"How can mothers with HIV avoid passing it to their kids? In South Africa, Mitchell Besser tapped a new resource for healthcare: moms themselves. The program he started, mothers2mothers, trains new mothers to educate and support other moms.",male
Toby Eccles,Social investment visionary,Toby Eccles has created a radical financial instrument that helps private investors contribute to solving thorny public problems.,male
Torsten Reil,Animating neurobiologist,"By coding computer simulations with biologically modeled nervous systems, Torsten Reil and his company NaturalMotion breathe life into the animated characters inhabiting the most eye-poppingly realistic games and movies around.",male
AJ Jacobs,Author,"Immersing himself in alternate lifestyles and long, hilarious experiments (usually with himself the guinea pig), writer AJ Jacobs tests the limits of behavior, customs, culture, knowledge _ã and his wife's sense of humor.",male
Aakash Odedra,Choreographer,Aakash Odedra sets raw ancient dance forms from India within the modern global context.,male
Aaron Huey,Photographer,"Photographer, adventurer and storyteller Aaron Huey captures all of his subjects _ã from war victims to rock climbers to Sufi dervishes _ã with elegance and fearless sensitivity.",male
Aaron Koblin,Data artist,Aaron Koblin is an artist specializing in data and digital technologies. His work takes real world and community-generated data and uses it to reflect on cultural trends and the changing relationship between humans and technology.,male
Aaron O'Connell,Physicist,"Aaron O'Connell is the first person to experimentally induce and measure quantum effects in the motion of a humanmade object, bridging the quantum and classical worlds.",male
Abe Davis,Computer scientist,"Computer vision expert Abe Davis pioneers methods to extract audio from silent digital videos, even footage shot on ordinary consumer cameras.",male
Abraham Verghese,Physician and author,"In our era of the patient-as-data-point, Abraham Verghese believes in the old-fashioned physical exam, the bedside chat, the power of informed observation.",male
Adam Davidson,Journalist,"Adam Davidson is the co-host and co-creator of ""Planet Money,"" a weekly podcast and radio feature about the economy.",male
Adam Foss,Juvenile justice reformer,"By shifting his focus from incarceration to transforming lives, Adam Foss is reinventing the role of the criminal prosecutor. ",male
Adam Grant,Organizational psychologist,"After years of studying the dynamics of success and productivity in the workplace, Adam Grant discovered a powerful and often overlooked motivator: helping others.",male
Adam Grosser,Venture capitalist,Adam Grosser is a general partner at Foundation Capital _ã and a refrigeration visionary.,male
Adam Ockelford,Music teacher,"A composer and music teacher who has long worked with children with special needs, Adam Ockelford is interested in the psychology of music. ",male
Adam Ostrow,Journalist,"As editor in chief at Mashable, Adam Ostrow covers the tech, trends and people driving the evolution of the Web.",male
Adam Sadowsky,Creative entrepreneur ,"As the president of Syyn Labs, Adam Sadowsky merges art and technology to create interactive projects big and small. ",male
Adam Savage,"Maker, critical thinker","Adam Savage, the host of ""MythBusters"" on the Discovery Channel, is a longtime special-effects artist and a minor obsessive.",male
Adam Spencer,Science communicator,Radio host Adam Spencer fills Sydney's drive-time mornings with smart math and science talk.,male
Afra Raymond,Transparency activist,"A leading expert in the fields of property valuation and project management, Afra Raymond is battling the government corruption rampant in his country, Trinidad and Tobago.",male
Ajit Narayanan,Visual grammar engine inventor,"Ajit Narayanan is the inventor of Avaz, an affordable, tablet-based communication device for people who are speech-impaired.",male
Al Gore,Climate advocate,Nobel Laureate Al Gore focused the world_ã_s attention on the global climate crisis. Now he_ã_s showing us how we_ã_re moving towards real solutions.,male
Al Seckel,Master of visual illusions,Al Seckel explored how eye tricks can reveal the way the brain processes visual information _ã or fails to do so. Among his other accomplishments: He co-created the Darwin Fish.,male
Al Vernacchio,Sexuality educator,"In his 12th-grade Sexuality and Society class, Al Vernacchio speaks honestly and positively about human sexuality.",male
Alain de Botton,Philosopher,Through his witty and literate books _ã and his new School of Life  _ã Alain de Botton helps others find fulfillment in the everyday. ,male
Alan Eustace,Stratospheric explorer,"Alan Eustace leapt to Earth from the edge of the stratosphere wearing only a spacesuit, shattering skydiving records and potentially revolutionizing the commercial space industry.",male
Alan Kay,Educator and computing pioneer,"One of the true luminaries of personal computing, Alan Kay conceived of laptops and graphical interfaces years before they were realized. At XeroxPARC, Apple, HP and Disney, he has developed tools for improving the mind.",male
Alan Russell,Medical futurist,"In the fight against disease, defect and injury, Alan Russell has a novel argument: Why not engineer new tissue and organs to replace sick ones?",male
Alan Siegel,"Executive, simplicity guru","A branding expert and one of the leading authorities on business communication, Alan Siegel wants to put plain English into legal documents for government and business.",male
Alastair Parvin,Designer,Alastair Parvin believes in making architecture accessible to 100 percent of the population.,male
Alberto Cairo,Physiotherapist,Alberto Cairo leads the International Red Cross' orthopedic rehabilitation work in Afghanistan.,male
Alec Soth,Photographer,Alec Soth makes large-scale projects that are as much about dreams and heartache as they are about charting the landscape of Middle America.,male
Alejandro Aravena,Urban architect,"Alejandro Aravena works inside paradoxes, seeing space and flexibility in public housing, clarity in economic scarcity, and the keys to rebuilding in the causes of natural disasters. He ",male
Alessandro Acquisti,Privacy economist,What motivates you to share your personal information online? Alessandro Acquisti studies the behavioral economics of privacy (and information security) in social networks.,male
Alex Kipman,Inventor,"With his latest invention, HoloLens, Kinect creator Alex Kipman has opened a virtual holographic universe for users to explore _ã and he may have changed the face of computing forever.",male
Alex Steffen,Planetary futurist,"Alex Steffen explores our planet's future, telling powerful, inspiring stories about the hard choices facing humanity ... and our opportunity to create a much better tomorrow.",male
Alex Wissner-Gross,"Scientist, entrepreneur, inventor","Alex Wissner-Gross applies science and engineering principles to big (and diverse) questions, like: ""What is the equation for intelligence?"" and ""What's the best way to raise awareness about climate change?""",male
Alexander Tsiaras,Medical image maker,"Using art and technology, Alexander Tsiaras visualizes the unseen human body.",male
Alexis Ohanian,Entrepreneur,"Alexis Ohanian is the co-founder an executive chairman of Reddit, a social-voting news website with geek allegiances, a small-town feel and a penchant for lighting up the memes your friends IM you about next week.",male
Allan Adams,Theoretical physicist,"Allan Adams is a theoretical physicist working at the intersection of fluid dynamics, quantum field theory and string theory. ",male
Allan Savory,Grassland ecosystem pioneer,Allan Savory works to promote holistic management in the grasslands of the world.,male
Ami Klin,Autism researcher,Ami Klin is an award winning autism spectrum disorder researcher finding new avenues for early diagnosis.,male
Amory Lovins,"Physicist, energy guru","In his new book, ""Reinventing Fire,"" Amory Lovins shares ingenious ideas for the next era of energy.",male
Amos Winter,Mechanical engineer,"Amos Winter and his team at MIT built the Leveraged Freedom Chair, a cheap lever-powered wheelchair whose design and develop put the user first.",male
Anand Agarawala,Interaction designer; software developer,"Anand Agarawala is the creator of BumpTop, an irresistible new desktop interface with a satisfyingly three-dimensional physicality and a fresh approach to interactivity.",male
Anand Giridharadas,Author,Anand Giridharadas writes about people and cultures caught amid the great forces of our time.,male
Anand Varma,Photographer,Anand Varma's photos tell the story behind the science on everything from primate behavior and hummingbird biomechanics to amphibian disease and forest ecology.,male
Anant Agarwal,Education innovator,"Through blended courses Anant Agarwal is pairing online education with face-to-face student-faculty interactions, reshaping the university campus experience.",male
Anas Aremeyaw Anas,Undercover journalist,"Anas Aremeyaw Anas is a Ghanaian undercover journalist and private eye who gathers hard evidence of crime and corruption, putting the perpetrators behind bars. ",male
Anders Ynnerman,Scientific visualization expert,"Anders Ynnerman studies the fundamental aspects of computer graphics and visualization, in particular large scale and complex data sets with a focus on volume rendering and multi-modal interaction. ",male
Andreas Ekstrê_m,Author and journalist,Andreas Ekstrê_m describes the power structures of the digital revolution.,male
Andreas Raptopoulos,Airborne logistics activist,"Andreas Raptopoulos and his colleagues are building the flying internet of things, using drones to carry essential goods to otherwise inaccessible areas.",male
Andres Lozano,Neurosurgeon,"The chair of neurosurgery at the University of Toronto, Andres Lozano has pioneered the use of deep brain stimulation for treating Parkinson_ã_s, depression, anorexia and Alzheimer_ã_s disease.",male
Andrê©s Ruzo,Geoscientist,Andrê©s Ruzo investigates the Earth's heat and the mystery of a boiling river in the Peruvian rainforest.,male
Andrew Bastawrous,"Eye surgeon, inventor",Andrew Bastawrous studies eye health _ã and builds accessible new tools to bring eye health to more people. He is a 2014 TED Fellow.,male
Andrew Bird,Musician,"Andrew Bird is a virtual one-man band _ã he_ã_s a singer and songwriter and plays the violin, guitar, glockenspiel.",male
Andrew Blum,Network author,"For his new book, ""Tubes,"" Andrew Blum visited the places where the internet exists in physical form: the cables and switches and servers that virtually connect us.",male
Andrew Connolly,Astronomer,Andrew Connolly is helping to build the Large Synoptic Survey Telescope _ã as well as tools to handle the massive datasets it will send our way.,male
Andrew Fitzgerald,Editor,Andrew Fitzgerald is shaping new ways for Twitter and journalists to work together.,male
Andrew McAfee,Management theorist,Andrew McAfee studies how information technology affects businesses and society.,male
Andrew Mwenda,Journalist,Journalist Andrew Mwenda has spent his career fighting for free speech and economic empowerment throughout Africa. He argues that aid makes objects of the poor _ã they become passive recipients of charity rather than active participants in their own economic betterment.,male
Andrew Stanton,Filmmaker,"Andrew Stanton has made you laugh and cry. The writer behind the three ""Toy Story"" movies and the writer/director of ""WALL-E,"" he releases his new film, ""John Carter,"" in March.",male
Andy Hobsbawm,Internet entrepreneur,Andy Hobsbawm is the founder and CMO of Evrythng.com and the founder of,
male,,,
Andy Yen,Secure email developer,Andy Yen is building an encrypted email program that lets everyone benefit from private communication.,male
Angelo Vermeulen,"Space researcher, biologist, artist","Angelo Vermeulen wears many hats, including one as a crew commander for NASA, another as an artist and community organizer. ",male
Anil Ananthaswamy,Science writer,"Anil Ananthaswamy is the author of ""The Edge of Physics."" A former software engineer, he was inspired to become a science writer by his passionate curiosity about the world.",male
Anil Gupta,Innovation advocate,"Anil Gupta created the Honey Bee Network to support grassroots innovators who are rich in knowledge, but not in resources.",male
Anote Tong,President of the Republic of Kiribati,Anote Tong has built worldwide awareness of the potentially devastating impacts of climate change.,male
Kwame Anthony Appiah,Philosopher,"Kwame Anthony Appiah is a philosopher, cultural theorist and novelist. His latest book is ""The Honor Code,"" exploring moral revolutions.",male
Anthony Atala,Surgeon,"Anthony Atala asks, ""Can we grow organs instead of transplanting them?"" His lab at the Wake Forest Institute for Regenerative Medicine is doing just that _ã engineering over 30 tissues and whole organs.",male
Antonio Damasio,Neuroscientist,"Antonio Damasio's research in neuroscience has shown that emotions play a central role in social cognition and decision-making. His work has had a major influence on current understanding of the neural systems, which underlie memory, language, consciousness.",male
Antonio Donato Nobre,Scientist,"Antonio Donato Nobre researches the _ãingenious systems_ã of the Amazon. His work illustrates the beautiful complexity of this region, as well as its fragility against a backdrop of climate change. ",male
Antê_nio Guterres,United Nations High Commissioner for Refugees,Antê_nio Guterres is at the forefront of advocating for refugee rights around the world.,male
Anupam Mishra,Environmental activist,"To promote smart water management, Anupam Mishra works to preserve rural India_ã_s traditional rainwater harvesting techniques.",male
Apollo Robbins,Gentleman thief,"Apollo Robbins will take the phone from your pocket and the ring off your finger, then hand them back to you and (maybe) show you how he did it.",male
Aris Venetikidis,Mapmaker,Aris Venetikidis imagines how maps work with our minds.,male
Arthur Benjamin,Mathemagician,"Using daring displays of algorithmic trickery, lightning calculator and number wizard Arthur Benjamin mesmerizes audiences with mathematical mystery and beauty.",male
Arthur Brooks,"Social scientist, author ","As president of the American Enterprise Institute, Arthur Brooks is changing the way conservatives think about poverty and opportunity.",male
Arthur Ganson,Sculptor,Arthur Ganson's kinetic metal sculptures mix high art with gearhead humor. He's also the inventor of the kids' construction toy Toobers & Zots.,male
Arthur Potts Dawson,Green chef,"Arthur Potts Dawson wants us to take responsibility not just for the food we eat, but how we shop for and even dispose of it. And he's showing the way _ã with impeccable taste.",male
Arunachalam Muruganantham,Inventor,Arunachalam Muruganantham created a system of simple machines to make modern sanitary napkins _ã giving millions of women in his home country and around the world access to hygiene.,male
Arvind Gupta,Toymaker,Science educator Arvind Gupta uses simple toys to teach.,male
Ashraf Ghani,President-elect of Afghanistan,"Ashraf Ghani, Afghanistan_ã_s new president-elect, and his opponent, Abdullah Abdullah, will share power in a national unity government. He previously served as Finance Minister and as a chancellor of Kabul University.",male
Astro Teller,"Entrepreneur, inventor, author","As ""Captain of Moonshots"" for X, Astro Teller oversees the secret projects that could reshape our lives in coming decades.",male
Atul Gawande,Surgeon and journalist,"Surgeon by day and public health journalist by night, Atul Gawande explores how doctors can dramatically improve their practice using something as simple as a checklist.",male
Aubrey de Grey,Crusader against aging,"Aubrey de Grey, British researcher on aging, claims he has drawn a roadmap to defeat biological aging. He provocatively proposes that the first human beings who will live to 1,000 years old have already been born.",male
Auke Ijspeert,Roboticist,"Auke Ijspeert works at the intersection of robotics, biology and computational neuroscience.",male
Auret van Heerden,Labor-rights activist,"At the head of the Fair Labor Association (FLA), Auret van Heerden takes a practical approach to workers' rights, persuading corporations and NGOs to protect labor in global supply chains.",male
Avi Reichental,3D printer,"At 3D Systems, Avi Reichental is helping to imagine a future where 3D scanning-and-printing is an everyday act, and food, clothing, objects are routinely output at home.",male
Avi Rubin,Computer security expert,Avi Rubin is a professor of computer science and director of the Health and Medical Security Lab at Johns Hopkins University. His research is focused on the security of electronic records _ã including medical and voting records.,male
Aziz Abu Sarah,Entrepreneur + educator,Aziz Abu Sarah helps people break down cultural and historical barriers through tourism.,male
Baba Shiv,Neuroeconomist,"Baba Shiv studies how _ãliking_ã and _ãwanting_ã shape the choices we make, and what that means in the world of marketing.",male
Bandi Mbubi,Social Justice Activist,Bandi Mbubi would like to make sure that you are using a fair trade cell phone.,male
Barat Ali Batoor,Photojournalist,"Barat Ali Batoor, an award-winning photojournalist, is a member of the Hazara people. He is based in Australia.",male
Barry Schuler,Entrepreneur,"Barry Schuler's multimedia firm Medior built key interactive technologies for AOL, helping millions connect to the Internet through a simple, accessible interface. Now, through venture capital (and wine appreciation), he wants to do the same for genomics.",male
Barry Schwartz,Psychologist,"Barry Schwartz studies the link between economics and psychology, offering startling insights into modern life. Lately, working with Ken Sharpe, he's studying wisdom.",male
Bart Knols,Malariologist,Bart Knols is a doctor committed to killing mosquitoes and ending malaria.,male
Barton Seaver,Chef,Barton Seaver is an advocate of sustainable seafood and a chef in Washington DC. His work tells the story of our common resources through the communion we all share _ã_ dinner.,male
Bassam Tariq,Creative spirit,"Bassam Tariq delights in making eclectic career choices. A blogger, a filmmaker, and a butcher's shop owner, the common theme linking everything together is his boundless celebration of humanity.",male
Bastian Schaefer,Aircraft engineer,Bastian Schaefer and a team of designers at Airbus have been imagining the high-concept future of the jet airlplane _ã in a future with less fuel and more passengers.,male
Beardyman,Beatboxer and inventor,"Beardyman, _ãruler of beats and destroyer of dance floors,_ã has developed a real-time music-production system that places live looping at the center of a new musical paradigm.",male
Ben Ambridge,Psychologist,"Ben Ambridge is the author of ""Psy-Q,"" a sparkling book debunking what we think we know about psychology.",male
Ben Cameron,Arts administrator,"Ben Cameron runs the arts granting program at the Doris Duke Foundation, focusing on live theater, dance and jazz.",male
Ben Dunlap,College president,"Ben Dunlap is a true polymath, whose talents span poetry, opera, ballet, literature and administration. He is the president of South Carolina_ã_s Wofford College.",male
Ben Goldacre,Debunker,"Ben Goldacre unpicks dodgy scientific claims made by scaremongering journalists, dubious government reports, pharmaceutical corporations, PR companies and quacks.",male
Ben Kacyra,Digital preservationist,Ben Kacyra uses state-of-the-art technology to preserve cultural heritage sites and let us in on their secrets in a way never before possible.,male
Ben Katchor,Cartoonist,"The first MacArthur-winning cartoonist, Ben Katchor has collected both cult and mainstream hat tips for his wry, poetic creations that find uncanny humor (and color) in the commonplace deeds of a bygone New York City.",male
Ben Roche,Chef,"Ben Roche is the pastry chef at Moto, in Chicago, and was the co-host, with Homaro Cantu, of the TV show ""Future Food.""",male
Ben Saunders,Arctic explorer,"In 2004, Ben Saunders became the youngest person ever to ski solo to the North Pole. In 2013, he set out on another record-breaking expedition, this time to retrace Captain Scott_ã_s ill-fated journey to the South Pole on foot.",male
Ben Wellington,Data scientist,"Ben Wellington blends his love of statistics, the city, and comedy in his entertaining analysis of the story of New York City, told through data.",male
Benjamin Barber,Political theorist,Benjamin Barber believes that the future of the world may lie with the politicians who implement practical change every day: mayors.,male
Benjamin Wallace,Author,"Benjamin Wallace is a journalist and author of The Billionaire's Vinegar, the true story of the world's most expensive bottle of (possibly phony?) wine. He's been a contributor to GQ, Details, Salon and The Washington Post.",male
Benjamin Zander,Conductor,"A leading interpreter of Mahler and Beethoven, Benjamin Zander is known for his charisma and unyielding energy _ã and for his brilliant pre-concert talks.",male
Benoit Mandelbrot,Mathematician,"Benoit Mandelbrot's work led the world to a deeper understanding of fractals, a broad and powerful tool in the study of roughness, both in nature and in humanity's works.",male
Bertrand Piccard,Solar adventurer,Bertrand Piccard circumnavigated the Earth in a hot-air balloon. Now he wants to circle it in an airplane powered only by solar energy. ,male
Bilal Bomani,NASA scientist,"Bilal Bomani runs NASA_ã_s Greenlab research facility, where he is developing the next generation of biofuels.",male
Bill Clinton,Activist,"Through his William J. Clinton Foundation, former US President Bill Clinton has become a vital and innovative force for world change. He works in four critical areas: health, economic empowerment, citizen service, and reconciliation.",male
Bill Davenhall,Health and human services expert,"Bill Davenhall wants to improve physicians' diagnostic techniques by collecting each patient's geographic and environmental data, and merging it with their medical records.",male
Bill Doyle,Engineer,"With his company Novocure, Bill Doyle works to bring breakthrough medical technologies to doctors and patients. ",male
Bill Ford,"Executive chair, Ford Motor Co.","As executive chair of the Ford Motor Company, Bill Ford leads the company that put the world on wheels.",male
Bill Gates,Philanthropist,"A passionate techie and a shrewd businessman, Bill Gates changed the world while leading Microsoft to dizzying success. Now he's doing it again with his own style of philanthropy and passion for innovation.",male
Bill Gross,Idea guy,"Bill Gross founded Idealab, an incubator of new inventions, ideas and businesses.",male
Bill Joy,Technologist and futurist,"The co-founder of Sun Microsystems, Bill Joy has, in recent years, turned his attention to the biggest questions facing humanity: Where are we going? What could go wrong? What's the next great thing?",male
Bill Stone,"Explorer, inventor and outer space dreamer","Engineer and daredevil caver Bill Stone pushes the frontier _ã through flooded tunnels, the remotest depths of the Earth and the limits of human endurance.",male
Bill Strickland,Social innovator,"As a Pittsburgh youth besieged by racism in the crumbling remains of the steel economy, Bill Strickland should have been one of the Rust Belt's casualties. Instead, he discovered the potter's wheel, and the transforming power of fountains, irrepressible dreams, and the slide show.",male
Bill T. Jones,"Director/choreographer, dancer","With his artistry and creativity, Bill T. Jones has inspired a generation of dancers, choreographers _ã and audiences.",male
Billy Collins,Poet,"A two-term U.S. Poet Laureate, Billy Collins captures readers with his understated wit, profound insight _ã and a sense of being ""hospitable.""",male
