,subject,verb,object
771,I,want,"[what, to, talk, to, you, about, today]"
772,I,know,"[how, to, put, the, two, together]"
773,I,doing,[this]
774,I,reading,"[cancer, literature]"
775,I,reading,[articles]
776,I,know,[that]
777,I,looked,[articles]
778,I,found,[articles]
779,I,decided,"[to, ask, why]"
780,I,emailed,[professors]
781,I,decided,"[to, ask, why]"
782,I,starting,"[to, investigate, this, May, at, the, Sylvester, Cancer, Institute, in, Miami]"
783,I,keep,[investigating]
784,I,get,[answers]
785,I,doing,[this]
786,I,hate,"[to, say, that]"
787,I,figured,[you]
788,I,thank,[you]
789,We,removing,"[cancer, cells]"
790,We,use,[muscles]
791,We,moving,[muscles]
792,we,know,[story]
793,we,drove,"[book, book]"
794,we,need,"[to, repair, the, lung]"
795,we,eliminate,[cancer]
796,we,trying,"[to, do, now]"
797,we,bombarding,"[body, cancer]"
798,we,trying,"[to, kill, it]"
799,we,revealing,[damage]
800,we,remove,[it]
801,we,take,"[property, compound, receptor]"
802,we,tore,[muscle]
803,we,stretched,[muscle]
804,we,counteract,[something]
805,we,want,[that]
806,we,calling,[it]
807,we,need,"[to, restore, new, brain, cells, ,, new, functional, brain, cells, —]"
808,we,have,"[to, manipulate, them, in, the, right, way]"
809,I,wear,[shoes]
810,I,absorb,[America]
811,I,inspired,"[Walt, Whitman]"
812,I,doing,[that]
813,I,know,[people]
814,I,say,[touch]
815,I,happened,"[to, have, had, a, couple, of, drinks, before, boarding]"
816,I,do,[that]
817,I,imitate,"[train, call]"
818,I,say,[that]
819,I,see,[baby]
820,I,going,"[to, talk, to, the, baby]"
821,I,say,"[Thank, God, for, a, human, reaction]"
822,I,did,[thing]
823,I,did,[thing]
824,I,know,"[Wright, Morris]"
825,I,quoting,"[Wright, Morris]"
826,I,got,"[to, scram]"
827,I,going,"[to, do, somebody, that, nobody, likes]"
828,I,like,"[to, inspire, people]"
829,I,doing,[somebody]
830,I,do,[who]
831,I,doing,[her]
832,I,have,"[to, curtsey, when, I, see, the, president, of, my, university]"
833,I,see,[president]
834,I,got,"[to, get, coffee, for, my, male, colleagues]"
835,I,outlived,[most]
836,I,know,[enough]
837,I,got,[this]
838,I,title,[things]
839,I,began,"[to, learn, how, to, cover, it, up]"
840,I,had,[excuses]
841,I,failed,[them]
842,I,fix,[man]
843,I,had,[baby]
844,I,gave,[kid]
845,I,hear,[it]
846,I,dared,"[not, to, move]"
847,I,told,[him]
848,I,want,"[to, accept, the, fact, that, she, was, dead]"
849,I,put,[mirror]
850,I,keeping,[secret]
851,I,started,[project]
852,I,going,"[to, go, around, America, and, find, it, in, all, its, aspects, —, bull, riders, ,, cowboys, ,, pig, farmers, ,, drum, majorettes]"
853,I,say,[what]
854,I,learned,[most]
855,I,have,[that]
856,I,learned,[that]
857,I,used,"[to, believe, America, was, the, best]"
858,I,watched,"[Hollywood, lifestyle, movie]"
859,I,saw,[man]
860,I,used,"[to, believe, America, was, the, best]"
861,I,deny,[that]
862,I,began,"[to, really, realize, that, Koreans, are, completely, left, out, of, this, society]"
863,I,find,[justice]
864,I,care,"[Jesse, Jackson]"
865,I,swallowing,[bitterness]
866,I,have,[feeling]
867,I,wear,[shoes]
868,I,have,"[to, cuddle, up, and, get, into, the, feet, of, somebody, ,, walking, really, in, somebody, else, 's, shoes]"
869,I,told,[you]
870,I,give,[year]
871,I,thought,[year]
