,term,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
5609,downsides,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5610,downstairs,2,1,1,1,2,0,3,0,1,1,0,1,0,2,0,0
5611,downstream,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0
5612,downton,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
5613,downtown,7,0,2,0,6,1,3,1,3,4,3,1,0,2,3,1
5614,downturn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
5615,downward,0,0,2,0,0,0,2,1,0,0,0,1,1,0,0,2
5616,downwards,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
5617,downwind,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5618,dozens,1,0,0,2,0,4,0,4,2,2,7,0,4,4,5,4
5619,dp,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0
5620,dr,31,3,8,7,5,17,10,5,4,13,4,15,5,0,12,7
5621,draft,0,1,0,1,0,0,4,1,0,0,0,0,0,0,0,1
5622,drafted,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5623,drafting,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
5624,drafts,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2
5625,drag,1,0,0,2,0,4,1,0,2,0,0,8,3,2,2,2
5626,dragged,1,1,0,2,0,0,3,0,1,2,2,1,0,1,2,0
5627,dragging,1,0,1,2,1,0,0,3,1,0,0,1,5,0,1,2
5628,dragon,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0
5629,dragonfly,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
5630,dragons,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
5631,drags,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0
5632,drain,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0
5633,drainage,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
5634,drained,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1
5635,draining,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
5636,drains,0,0,0,0,0,1,0,0,0,0,1,0,3,1,0,0
5637,drake,0,0,1,1,0,2,1,2,0,2,0,0,1,0,0,0
5638,drama,0,1,0,0,2,1,1,0,0,1,2,0,2,0,1,4
5639,dramas,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5640,dramatic,0,2,4,4,1,5,3,3,4,4,9,5,4,3,5,7
5641,dramatically,0,0,0,4,3,7,2,3,9,0,1,8,8,3,6,1
5642,drank,0,2,1,0,0,0,0,0,0,0,1,0,0,1,3,3
5643,draped,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5644,draper,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
5645,drapes,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5646,drastically,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0
5647,drawback,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
5648,drawbacks,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5649,drawer,0,0,0,0,1,0,1,0,0,0,0,4,1,0,0,2
5650,drawers,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
5651,drawings,15,6,1,2,0,3,2,3,2,0,1,1,4,0,0,0
5652,drawn,2,1,0,1,2,8,4,2,4,4,8,2,2,5,4,1
5653,draws,1,0,1,0,0,0,2,1,1,3,1,1,0,1,0,1
5654,dread,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2
5655,dreaded,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0
5656,dreadful,0,3,0,0,1,0,0,0,2,2,1,0,0,0,0,0
5657,dreamed,0,1,0,0,0,2,1,2,1,4,2,1,3,2,3,4
5658,dreamer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5659,dreaming,0,0,0,3,1,0,1,0,0,1,4,4,2,4,7,5
5660,dreams,3,4,0,1,4,4,6,11,8,10,6,14,12,4,38,13
5661,dreamscape,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5662,dreamt,0,0,0,1,0,0,1,0,0,0,0,0,2,0,3,0
5663,dreamy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5664,drenched,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5665,dress,1,0,3,1,4,1,5,7,1,2,2,0,1,3,12,1
5666,dressed,1,0,2,1,1,2,0,0,2,2,3,2,2,2,4,2
5667,dresses,0,0,1,0,0,0,0,2,0,0,1,2,0,2,0,0
5668,dressing,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5669,drexler,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5670,dried,4,0,1,1,0,0,0,1,2,0,0,1,2,1,0,2
5671,drier,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5672,dries,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0
5673,driest,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,4
5674,drift,0,2,5,5,3,0,3,0,0,0,0,0,0,0,1,0
5675,drifted,0,1,1,2,0,1,1,0,0,0,1,0,1,0,1,2
5676,drifting,0,0,0,5,0,1,1,1,0,0,1,0,0,1,0,0
5677,drifts,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5678,drill,0,0,1,1,1,3,0,1,6,2,2,1,3,4,0,0
5679,drilled,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
5680,drilling,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
5681,drills,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
5682,drink,6,0,4,4,6,3,6,3,4,4,3,4,1,11,2,10
5683,drinking,0,3,1,2,0,3,0,7,4,0,7,2,2,2,6,2
5684,drinks,1,0,1,2,0,1,0,0,0,0,1,1,1,2,1,0
5685,drip,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
5686,dripping,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
5687,drips,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5688,drivable,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
5689,driven,5,4,0,9,12,8,7,4,0,8,4,3,13,3,8,7
5690,driver,1,0,0,4,4,4,0,2,1,13,0,4,3,19,6,4
5691,driverless,1,0,0,0,0,0,0,0,0,1,0,1,0,3,0,5
5692,drivers,1,0,1,0,1,1,1,0,2,2,1,4,4,7,5,4
5693,drives,2,0,1,2,2,5,2,9,5,7,4,5,9,0,17,4
5694,driveway,0,0,1,1,0,0,0,0,0,2,1,0,0,0,1,1
5695,droid,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
5696,drone,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,6
5697,drones,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,10
5698,droopy,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5699,droplet,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1
5700,droplets,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
5701,dropout,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1
5702,dropouts,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5703,dropper,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0
5704,dropping,0,1,3,0,1,3,0,1,0,2,1,4,3,1,0,5
5705,drops,0,1,3,2,0,1,3,3,1,2,0,1,1,1,5,1
5706,drought,0,0,0,0,0,0,2,1,1,2,2,0,1,0,5,2
5707,droughts,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0
5708,drove,3,2,0,2,2,0,3,2,2,3,2,4,5,4,5,10
5709,droves,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5710,drown,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
5711,drowned,0,0,1,0,0,2,0,0,2,1,0,0,1,0,1,0
5712,drowning,0,0,0,1,1,1,9,0,3,0,0,0,2,2,0,1
5713,drowsy,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
5714,drudgery,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
5715,drug,4,0,10,1,2,10,3,10,14,7,3,3,9,27,14,19
5716,drugged,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
5717,drum,5,20,4,1,1,0,0,0,0,7,0,1,3,0,0,1
5718,drummer,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0
5719,drumming,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
5720,drums,0,2,1,0,0,1,0,2,0,1,0,5,0,0,1,2
5721,drunk,0,2,3,0,0,4,0,0,2,0,0,1,1,2,4,2
5722,drunken,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
5723,druthers,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
5724,dry,4,2,2,14,2,5,1,9,8,7,2,13,9,7,0,12
5725,dryer,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5726,drying,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
5727,ds,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5728,du,0,2,0,0,0,0,2,1,0,0,0,3,0,0,0,0
5729,dual,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
5730,dubbed,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
5731,dubious,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
5732,dublin,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1
5733,duck,0,1,3,1,4,0,2,0,2,0,1,20,0,1,0,0
5734,ducks,0,0,2,0,1,0,0,0,0,0,0,1,0,6,0,0
5735,duct,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
5736,ducts,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
5737,dude,0,0,0,0,0,1,2,0,4,0,5,1,1,3,0,1
5738,dudes,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5739,due,2,3,4,4,0,6,3,5,5,5,5,4,10,8,1,6
5740,dues,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
5741,dug,0,2,0,1,0,1,3,0,1,0,0,1,2,1,4,5
5742,dugout,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5743,duh,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0
5744,duke,0,0,0,0,0,0,1,4,0,0,0,2,2,0,0,0
5745,dull,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,2
5746,dulled,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5747,dumb,1,0,1,0,3,2,1,2,1,2,4,2,1,3,1,4
5748,dummies,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
5749,dump,0,0,0,0,2,0,0,3,1,1,0,4,0,0,2,0
5750,dumped,1,0,1,0,1,0,4,0,2,1,2,0,1,0,0,0
5751,dumping,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
5752,dumplings,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5753,dumps,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
5754,dumpster,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1
5755,dumpsters,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5756,dumpty,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
5757,duncan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5758,dune,0,4,0,0,0,0,4,0,0,2,0,0,0,0,0,0
5759,dunes,0,2,0,0,0,7,0,0,1,0,0,0,0,1,0,0
5760,dung,1,0,0,0,3,1,0,0,0,0,0,2,0,0,0,2
5761,duo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5762,duplicate,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5763,duplicated,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0
5764,dupont,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5765,durability,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5766,durable,0,1,1,3,0,0,2,0,0,2,0,1,1,2,0,1
5767,duran,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
5768,duration,0,0,2,1,0,3,0,4,0,1,0,0,0,5,0,1
5769,durations,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5770,dusk,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
5771,dust,3,5,2,1,0,2,2,0,0,6,2,3,3,11,3,4
5772,dustin,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
5773,dusty,0,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0
5774,dutch,0,2,6,2,3,4,1,0,1,4,0,2,0,0,1,5
5775,duties,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
5776,dutifully,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5777,duty,1,1,0,0,1,3,0,1,1,0,1,1,0,3,3,6
5778,dvd,0,2,9,1,1,0,1,3,0,4,0,0,1,0,0,0
5779,dvds,0,0,3,0,0,1,0,1,1,1,0,0,0,0,0,0
5780,dwarf,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0
5781,dwarfs,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5782,dwarves,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5783,dwell,0,1,1,0,0,1,1,0,0,0,1,0,0,2,0,1
5784,dwellers,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
5785,dwelling,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,1
5786,dwellings,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5787,dwindled,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5788,dye,0,0,1,1,0,2,0,2,0,1,0,0,0,1,0,1
5789,dyed,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5790,dyes,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
5791,dylan,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2
5792,dynamic,2,4,1,5,6,2,4,2,6,4,4,0,6,3,4,11
5793,dynamically,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,2
5794,dynamics,1,2,2,4,1,13,1,7,1,4,3,0,2,1,0,2
5795,dynamism,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
5796,dynamite,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5797,dysfunction,0,0,1,1,0,0,0,1,0,0,0,1,0,5,0,1
5798,dysfunctional,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0
5799,dyslexic,0,0,0,1,0,2,0,0,2,1,3,0,0,0,0,0
5800,dyson,2,1,0,1,0,0,0,0,0,0,0,2,1,0,2,0
5801,eager,0,0,1,0,0,0,1,0,1,0,1,1,0,0,2,3
5802,eagerly,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
5803,eagle,0,0,0,0,0,0,3,0,0,0,1,1,2,0,2,0
5804,eames,0,0,0,1,0,11,0,0,0,0,0,0,1,0,0,0
5805,ear,1,4,5,2,1,6,3,2,9,7,3,5,5,4,7,0
5806,eardrums,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5807,eared,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5808,earl,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5809,earliest,0,0,2,2,1,3,1,3,3,3,2,8,1,2,2,1
5810,earn,0,0,1,1,0,6,0,1,6,0,1,6,3,3,8,6
5811,earned,0,2,2,0,1,0,1,1,0,0,0,2,0,2,4,2
5812,earner,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5813,earnest,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
5814,earning,0,0,1,0,1,3,0,0,0,0,0,2,1,0,3,1
5815,earnings,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,1
5816,earns,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0
5817,earrings,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
5818,ears,6,6,7,1,0,1,1,3,3,6,1,1,6,8,5,3
5819,earshot,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5820,earthly,1,0,0,0,0,1,3,0,0,0,0,0,1,0,1,0
5821,earthquake,0,0,0,3,1,0,0,0,8,2,4,1,3,2,0,0
5822,earthquakes,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0
5823,earths,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0
5824,ease,1,0,0,2,0,0,2,1,1,1,3,2,4,1,1,3
5825,easiest,0,1,3,0,0,0,1,0,1,1,0,2,2,0,0,1
5826,east,0,5,3,2,12,8,15,6,7,13,8,8,2,7,14,4
5827,easter,1,5,0,0,1,4,3,0,0,0,0,0,0,1,0,0
5828,eastern,0,1,5,0,1,1,6,7,1,2,3,4,2,1,3,4
5829,eaten,1,2,0,0,1,4,0,4,5,0,0,1,4,2,0,1
5830,eater,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
5831,eats,0,1,1,1,0,3,0,1,1,2,1,0,2,0,0,1
5832,eavesdrop,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5833,eavesdropping,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5834,eb,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0
5835,ebay,3,0,0,1,3,5,0,0,2,2,0,0,0,1,1,1
5836,ebola,1,1,0,1,1,0,1,0,0,0,0,0,0,24,0,5
5837,echo,0,0,0,1,4,0,1,1,1,2,0,1,0,1,1,0
5838,echoed,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
5839,echoes,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0
5840,eclectic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5841,eclipse,0,0,0,4,0,1,0,0,0,1,0,0,2,0,0,0
5842,eclipsed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5843,eco,0,0,0,0,0,0,1,0,0,0,0,6,6,1,0,0
5844,ecological,1,1,1,2,2,3,2,1,5,1,0,3,2,1,0,2
5845,ecologically,0,0,0,1,0,1,1,3,1,0,0,0,0,0,0,0
5846,ecologies,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5847,ecologist,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
5848,ecologists,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
5849,ecology,0,1,1,1,3,2,1,3,0,1,1,6,3,2,0,2
5850,economical,0,0,1,0,2,3,1,0,0,0,0,0,3,0,0,0
5851,economically,2,0,1,2,1,1,0,0,2,2,0,0,2,2,1,3
5852,economies,0,1,1,0,1,5,1,1,3,0,0,2,0,1,5,0
5853,economist,0,1,2,2,0,3,1,4,2,0,1,2,0,1,3,1
5854,economists,1,0,5,9,0,1,1,3,3,2,1,4,1,1,2,6
5855,ecorock,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5856,ecosystem,4,3,0,0,4,1,1,5,3,3,0,8,0,2,1,3
5857,ecosystems,3,0,0,1,0,3,5,2,3,0,0,11,1,2,1,2
5858,ecstasy,0,0,5,0,0,0,0,2,1,0,0,0,1,0,0,0
5859,ecstatic,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
5860,ecuador,4,1,0,1,0,6,0,0,0,0,1,0,0,0,0,0
5861,ed,1,1,1,2,4,12,0,3,2,2,7,1,15,5,4,0
5862,eddie,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0
5863,eddy,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0
5864,eden,0,1,0,3,0,0,0,2,2,0,0,0,0,0,0,0
5865,edgar,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
5866,edge,0,5,8,5,10,4,7,8,9,12,8,1,11,8,5,11
5867,edged,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5868,edges,1,1,3,2,1,3,2,4,4,2,6,0,7,11,0,3
5869,edible,0,0,0,0,0,1,1,0,0,4,0,0,1,0,0,2
5870,edict,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
5871,edifice,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
5872,edison,1,2,1,0,0,0,0,1,1,1,0,2,0,0,6,0
5873,edit,0,1,0,0,1,2,1,1,2,2,1,0,0,1,3,3
5874,edited,0,1,4,0,0,1,0,2,1,6,0,0,0,3,1,0
5875,edith,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0
5876,editing,0,0,2,0,1,0,2,0,3,3,0,0,0,1,5,2
5877,edition,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
5878,editions,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5879,editor,3,0,1,0,1,4,0,2,0,0,0,1,0,0,12,1
5880,editorial,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1
5881,editors,2,0,0,0,0,1,2,0,0,2,1,0,0,0,8,0
5882,edmund,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
5883,eds,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5884,educate,0,1,0,0,6,2,2,2,1,1,0,1,2,4,1,1
5885,educated,1,2,4,1,2,5,3,2,3,1,8,2,1,2,0,1
5886,educates,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5887,educating,0,0,0,0,5,0,2,0,1,1,0,2,1,0,1,0
5888,educational,2,1,0,1,8,5,1,2,1,2,0,9,3,3,3,5
5889,educationally,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5890,educations,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5891,educator,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
5892,educators,0,0,0,0,0,1,3,2,1,1,0,1,2,1,0,2
5893,edward,2,0,0,0,0,1,0,0,3,1,2,3,12,0,6,0
5894,edwards,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
5895,edwin,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5896,edx,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
5897,eerie,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0
5898,effectiveness,0,0,1,1,0,2,0,0,1,2,0,1,0,1,0,1
5899,efficacy,0,0,1,0,0,0,0,0,2,1,2,0,0,1,1,1
5900,efficiencies,0,0,0,1,1,1,0,2,0,0,0,2,0,0,0,0
5901,efficiency,3,11,0,13,11,1,2,0,5,3,0,7,2,0,2,1
5902,efficient,5,3,3,22,5,7,0,8,7,8,4,15,7,7,6,9
5903,efficiently,0,1,0,2,1,0,0,0,0,0,1,0,2,1,1,1
5904,effortlessly,0,0,0,0,1,0,0,0,1,1,0,0,2,1,0,0
5905,efforts,1,1,0,1,3,6,2,3,6,2,0,3,5,5,8,3
5906,egg,1,6,0,0,1,1,2,2,4,7,0,2,4,1,0,0
5907,eggs,0,9,1,4,0,1,2,2,19,1,0,3,6,2,0,0
5908,ego,1,0,0,0,3,0,2,2,2,1,0,1,5,0,1,2
5909,egos,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
5910,egotistical,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5911,egregious,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5912,egypt,0,1,0,1,2,10,0,2,0,15,5,4,3,0,17,2
5913,egyptian,0,0,0,0,4,0,0,0,0,11,4,0,1,0,8,0
5914,egyptians,1,0,1,1,0,0,0,0,0,5,2,0,5,0,3,1
5915,egyptology,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5916,eh,0,0,0,0,0,0,0,0,1,1,1,0,1,0,25,1
5917,eiffel,0,0,0,0,0,0,0,1,2,0,1,5,0,0,0,0
5918,eighteen,0,0,0,1,0,0,0,0,0,0,1,1,1,3,0,0
5919,eighteenth,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5920,eighth,2,1,0,2,6,0,5,2,0,0,0,1,1,1,0,4
5921,eighty,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0
5922,eileen,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
5923,einstein,2,2,3,13,33,5,8,2,4,12,4,4,0,3,3,1
5924,einsteins,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0
5925,eisenhower,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5926,eisner,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0
5927,ejaculate,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5928,ejected,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
5929,ekman,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0
5930,el,0,0,0,1,2,2,2,5,0,0,0,1,3,0,1,1
5931,elaborate,0,0,5,0,3,2,0,1,3,3,1,0,1,2,2,3
5932,elaborated,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
5933,elastic,0,0,0,0,0,1,0,0,0,1,0,1,1,3,0,0
5934,elasticity,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0
5935,elated,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
5936,elation,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0
5937,elbow,1,0,0,0,0,2,1,0,1,1,0,0,0,2,3,2
5938,elbows,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
5939,elder,0,2,0,0,1,0,5,0,0,1,0,2,1,1,1,2
5940,elderly,1,1,0,2,0,0,2,2,0,0,4,24,0,3,2,0
5941,elders,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,1
5942,eldest,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
5943,eleanor,0,0,0,0,0,5,0,0,0,0,1,3,0,0,0,0
5944,elect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5945,elected,1,2,1,0,0,1,3,0,7,1,3,5,2,2,3,5
5946,election,3,0,2,1,2,2,3,2,1,3,0,20,5,0,8,10
5947,elections,0,2,0,0,0,1,1,1,1,1,1,6,1,1,3,5
5948,electoral,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0
5949,electorate,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5950,electric,2,21,4,6,2,10,11,13,4,5,0,29,2,3,3,11
5951,electrical,1,1,3,15,3,3,1,11,3,14,4,3,6,7,0,8
5952,electrically,0,0,2,0,0,0,2,0,0,2,0,0,1,0,1,0
5953,electrician,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5954,electrification,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
5955,electrify,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
5956,electro,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
5957,electrocardiogram,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5958,electrochemical,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0
5959,electrode,0,0,0,1,0,0,0,1,1,0,1,0,0,2,0,1
5960,electrodes,0,0,2,2,0,1,1,0,0,3,5,1,4,6,0,1
5961,electrolux,0,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0
5962,electromagnetic,1,1,0,4,0,1,9,0,1,1,2,0,1,1,2,1
5963,electromagnetism,0,0,0,2,0,0,2,0,0,1,0,0,1,0,0,0
5964,electron,0,0,0,6,2,0,10,7,3,0,0,2,1,0,0,0
5965,electronic,1,4,1,1,9,2,6,0,1,8,2,12,4,3,2,2
5966,electronica,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
