,term,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
86,1888,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
87,1890,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88,1891,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
89,1895,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
90,18th,0,0,0,0,0,1,1,2,0,1,3,0,2,1,0,0
91,190,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
92,1900,2,0,0,1,0,0,0,4,0,0,0,12,0,0,0,1
93,1900s,0,0,0,1,0,0,2,4,1,0,0,0,0,1,1,0
94,1902,0,0,0,0,0,0,0,0,0,0,2,0,7,1,0,0
95,1903,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
96,1908,1,5,0,0,2,0,0,0,0,0,0,0,0,1,0,0
97,1910,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0
98,1912,0,0,0,4,0,0,0,0,0,0,3,0,2,0,0,0
99,1914,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1
100,1915,0,0,0,0,0,1,0,0,1,3,0,0,0,0,2,0
101,1917,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
102,1918,1,0,0,0,2,6,0,0,2,1,0,1,0,1,0,0
103,1919,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0
104,192,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,1920,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
106,1920s,1,0,1,1,0,0,2,1,1,0,0,0,1,0,3,1
107,1925,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
108,1927,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
109,1928,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0
110,1929,0,0,0,0,0,1,0,3,0,1,1,4,1,0,0,0
111,1930,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
112,1930s,0,2,0,0,1,0,0,2,1,3,0,1,2,2,0,0
113,1932,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1
114,1935,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
115,1936,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
116,1937,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
117,1938,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
118,1939,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0
119,1940,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1
120,1940s,0,1,0,0,1,0,3,1,1,0,0,0,0,0,1,2
121,1941,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
122,1942,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
123,1943,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
124,1944,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
125,1945,0,4,0,0,0,2,5,3,0,0,0,0,0,3,0,1
126,1946,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2
127,1947,0,0,0,3,0,0,0,0,1,0,3,0,0,0,1,0
128,1948,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
129,1949,0,0,1,1,0,3,3,0,0,0,0,1,0,0,0,0
130,1950,0,2,0,0,1,2,2,1,1,0,0,2,0,0,1,0
131,1950s,2,3,4,2,1,3,2,4,0,2,1,3,1,4,0,3
132,1951,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
133,1952,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
134,1953,0,1,0,2,0,1,0,1,0,0,1,0,0,0,0,1
135,1954,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1
136,1955,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
137,1956,0,0,3,0,0,1,0,1,0,0,0,2,1,0,0,0
138,1957,1,1,2,0,0,4,0,0,0,0,0,5,1,0,0,0
139,1958,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1
140,1959,1,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0
141,196,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
142,1960,4,0,1,1,4,1,1,3,0,2,0,4,1,0,0,2
143,1960s,0,1,1,2,2,5,0,1,2,0,1,0,1,4,2,1
144,1961,0,0,0,0,2,0,1,0,0,0,1,2,0,0,0,0
145,1962,1,0,0,2,3,2,0,0,0,0,1,1,1,0,1,0
146,1963,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0
147,1964,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
148,1965,1,0,1,0,0,1,1,1,0,0,0,0,3,0,0,0
149,1966,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0
150,1967,2,0,0,0,1,1,2,2,0,0,0,0,1,0,0,0
151,1968,1,0,1,1,2,2,0,2,1,0,1,0,0,0,0,1
152,1969,0,1,0,1,2,0,0,0,0,0,1,2,1,3,0,2
153,1970,0,0,0,2,4,1,1,4,1,0,1,3,3,0,2,2
154,1970s,0,1,2,0,0,0,2,3,1,1,0,4,3,6,3,6
155,1971,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0
156,1972,0,0,0,0,1,0,0,1,1,0,2,1,4,1,0,0
157,1973,0,4,0,1,0,0,2,2,0,0,0,2,1,1,1,0
158,1974,1,1,0,0,4,0,3,2,0,0,1,0,0,1,0,1
159,1975,0,0,0,0,0,1,0,4,0,1,0,0,0,2,1,1
160,1976,2,1,0,0,1,1,1,1,0,1,2,0,1,1,0,0
161,1977,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0
162,1978,0,1,0,0,1,1,1,1,0,3,0,0,0,0,0,0
163,1979,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,1
164,1980,0,1,0,0,4,0,3,0,1,1,2,1,0,1,2,0
165,1980s,0,0,2,0,0,3,2,5,2,1,0,3,3,3,2,3
166,1981,0,1,0,0,0,3,0,1,0,1,2,1,0,0,0,0
167,1982,0,1,0,0,3,1,0,1,2,0,1,1,1,0,0,1
168,1983,1,3,1,0,0,1,1,4,0,0,0,0,3,1,0,0
169,1984,1,0,0,1,0,0,1,1,1,1,3,0,6,0,0,1
170,1985,0,1,0,0,2,0,5,0,1,0,0,0,1,3,0,1
171,1986,1,0,0,0,2,1,0,0,1,0,2,0,0,1,0,0
172,1987,1,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0
173,1988,0,0,0,1,0,2,0,0,0,0,0,1,2,2,0,3
174,1989,1,0,1,0,0,1,2,1,0,0,0,0,0,0,1,1
175,1990,0,1,2,4,0,0,3,4,2,1,2,5,3,1,0,0
176,1990s,1,1,2,6,1,9,5,0,1,0,3,5,5,5,1,1
177,1991,1,1,0,0,1,4,5,0,1,0,0,1,2,0,0,1
