,speaker_gender,subject,verb,term_freq,doc_freq,tfidf
216,man,he,spend,9,8,2.0107618880095517
219,man,he,sit,9,8,2.0107618880095517
220,man,he,speak,9,8,2.0107618880095517
221,man,he,play,9,8,2.0107618880095517
223,man,she,leave,8,8,1.787343900452935
224,man,i,quit,11,8,2.4575978631227855
225,man,i,push,8,8,1.787343900452935
226,man,i,continue,7,7,1.518620431183389
227,man,i,accept,7,7,1.518620431183389
228,man,he,shoot,7,7,1.518620431183389
229,man,he,change,7,7,1.518620431183389
230,man,he,run,8,7,1.7355662070667304
231,man,i,photograph,10,7,2.169457758833413
232,man,he,let,7,7,1.518620431183389
234,man,i,challenge,7,7,1.518620431183389
235,man,i,collect,9,7,1.9525119829500717
236,man,i,paint,8,7,1.7355662070667304
237,man,i,check,8,7,1.7355662070667304
239,man,i,name,7,7,1.518620431183389
240,man,i,wake,10,7,2.169457758833413
241,man,he,throw,7,7,1.518620431183389
242,man,i,inspire,7,7,1.518620431183389
243,man,i,apply,7,7,1.518620431183389
244,man,i,treat,8,7,1.7355662070667304
245,man,i,struggle,7,7,1.518620431183389
246,man,he,create,8,7,1.7355662070667304
247,man,he,design,10,7,2.169457758833413
248,man,i,recognize,7,7,1.518620431183389
249,man,i,explore,7,7,1.518620431183389
250,man,i,propose,8,7,1.7355662070667304
251,man,i,grab,8,7,1.7355662070667304
252,man,he,develop,8,7,1.7355662070667304
253,man,i,quote,7,7,1.518620431183389
254,man,i,fill,8,7,1.7355662070667304
255,man,he,learn,8,6,1.6794030415069705
256,man,i,fell,6,6,1.2595522811302278
257,man,he,describe,8,6,1.6794030415069705
258,man,i,wonder,6,6,1.2595522811302278
259,man,i,answer,6,6,1.2595522811302278
261,man,i,mix,6,6,1.2595522811302278
262,man,i,record,8,6,1.6794030415069705
263,man,he,become,6,6,1.2595522811302278
264,man,she,bring,11,6,2.3091791820720844
265,man,i,intend,7,6,1.4694776613185991
266,man,he,work,7,6,1.4694776613185991
267,man,he,pick,7,6,1.4694776613185991
268,man,he,walk,6,6,1.2595522811302278
269,man,he,invent,6,6,1.2595522811302278
270,man,i,fight,7,6,1.4694776613185991
271,man,he,point,6,6,1.2595522811302278
272,man,he,talk,7,6,1.4694776613185991
273,man,he,hold,6,6,1.2595522811302278
275,man,she,stop,7,6,1.4694776613185991
276,man,he,felt,6,6,1.2595522811302278
277,man,i,practice,6,6,1.2595522811302278
278,man,i,ignore,7,6,1.4694776613185991
279,man,i,fascinate,6,6,1.2595522811302278
280,man,i,bet,6,6,1.2595522811302278
281,man,i,repeat,8,6,1.6794030415069705
282,man,i,pass,8,6,1.6794030415069705
283,man,he,live,6,6,1.2595522811302278
284,man,i,shift,6,6,1.2595522811302278
285,man,i,dig,6,6,1.2595522811302278
286,man,i,n't,6,6,1.2595522811302278
287,man,he,kill,7,6,1.4694776613185991
288,man,i,travel,6,6,1.2595522811302278
289,man,i,research,6,6,1.2595522811302278
290,man,i,own,6,6,1.2595522811302278
291,man,he,mean,9,6,1.8893284216953419
292,man,he,draw,7,6,1.4694776613185991
293,man,i,type,9,6,1.8893284216953419
294,man,i,break,6,6,1.2595522811302278
295,man,i,urge,7,6,1.4694776613185991
296,man,he,invite,6,6,1.2595522811302278
297,man,i,sleep,5,5,1.0109344736233936
298,man,he,stop,5,5,1.0109344736233936
299,man,she,look,7,5,1.4153082630727511
300,man,i,post,6,5,1.2131213683480724
302,man,i,count,5,5,1.0109344736233936
303,man,i,pitch,5,5,1.0109344736233936
304,man,he,set,5,5,1.0109344736233936
305,man,he,seem,5,5,1.0109344736233936
306,man,i,marry,5,5,1.0109344736233936
307,man,i,tend,5,5,1.0109344736233936
308,man,he,reach,5,5,1.0109344736233936
309,man,she,sit,5,5,1.0109344736233936
310,man,i,strike,5,5,1.0109344736233936
312,man,i,enter,5,5,1.0109344736233936
313,man,he,realize,5,5,1.0109344736233936
315,man,i,cook,5,5,1.0109344736233936
316,man,i,measure,8,5,1.61749515779743
317,man,i,trust,5,5,1.0109344736233936
318,man,i,admire,6,5,1.2131213683480724
321,man,i,drop,8,5,1.61749515779743
323,man,he,win,6,5,1.2131213683480724
324,man,he,wear,6,5,1.2131213683480724
325,man,i,climb,5,5,1.0109344736233936
326,man,she,come,6,5,1.2131213683480724
327,man,i,ride,6,5,1.2131213683480724
328,man,i,interview,7,5,1.4153082630727511
329,man,i,assure,5,5,1.0109344736233936
330,man,i,roll,5,5,1.0109344736233936
332,man,i,attempt,6,5,1.2131213683480724
333,man,i,film,5,5,1.0109344736233936
334,man,i,reach,5,5,1.0109344736233936
335,man,i,predict,5,5,1.0109344736233936
337,man,he,feel,5,5,1.0109344736233936
338,man,he,propose,8,5,1.61749515779743
339,man,he,believe,5,5,1.0109344736233936
341,man,he,pay,5,5,1.0109344736233936
342,man,he,explain,5,5,1.0109344736233936
343,man,he,break,5,5,1.0109344736233936
344,man,he,meet,6,5,1.2131213683480724
345,man,he,die,5,5,1.0109344736233936
346,man,he,figure,5,5,1.0109344736233936
347,man,i,earn,4,4,0.7738347091470481
348,man,he,move,4,4,0.7738347091470481
349,man,i,stay,4,4,0.7738347091470481
350,man,he,be,4,4,0.7738347091470481
351,man,he,publish,4,4,0.7738347091470481
352,man,i,control,4,4,0.7738347091470481
353,man,i,connect,4,4,0.7738347091470481
355,man,i,kill,4,4,0.7738347091470481
357,man,she,begin,4,4,0.7738347091470481
358,man,he,beat,4,4,0.7738347091470481
359,man,i,jump,4,4,0.7738347091470481
360,man,he,sell,5,4,0.9672933864338102
361,man,i,launch,4,4,0.7738347091470481
