subject,verb,object
I,sat,[them]
I,got,[glasses]
I,got,[it]
I,got,[it]
I,got,[glasses]
You,put,[video]
me,fix,[hair]
I,sat,[them]
I,got,[glasses]
they,said,"[them, glasses]"
God,loves,[you]
I,believe,"[word, heart, word]"
I,like,"[word, heart]"
it,anthropomorphizes,[God]
I,like,[word]
that,sexualizes,[God]
I,want,"[to, argue, semantics, with, these, boys]"
we,have,[story]
they,told,[story]
God,came,"[Put, your, family, on, a, boat, and, I, will, lead, you, out, of, here]"
God,said,"[Put, your, family, on, a, boat, and, I, will, lead, you, out, of, here]"
I,Put,[family]
I,lead,[you]
God,lead,[them]
He,led,[them]
they,told,[me]
he,stopped,[Nephites]
he,visited,[Nephites]
he,told,[them]
they,win,[war]
somebody,blew,[it]
who,managed,"[to, survive, by, hiding, in, the, woods]"
he,buried,[which]
they,told,[me]
guy,found,"[gold, plates]"
he,found,[stone]
he,put,[that]
he,buried,[face]
this,allowed,"[me, stone]"
him,translate,"[gold, plates]"
I,wanted,"[to, give, these, two, boys, some, advice, about, their, pitch]"
I,wanted,"[to, say, —]"
Scientologists,know,"[to, start, with, a, personality, test, before, they, start, —,    , (, Applause, ),    , telling, people, all, about, Xenu, ,, the, evil, intergalactic, overlord]"
I,said,[little]
I,thought,[this]
I,backpedaled,[little]
you,mean,[what]
you,mean,[what]
God,gave,[gift]
God,gave,[women]
women,tend,"[to, be, much, less, violent, than, men]"
I,said,"[Oh, ,, come, on]"
women,tried,"[to, have, a, baby, every, single, year, from, the, time, they, were, 15, to, the, time, they, were, 45]"
women,have,[time]
they,look,[more]
they,had,[more]
you,get,"[to, go, to, heaven, and, be, with, your, family, for, all, eternity]"
you,lost,[leg]
you,get,[it]
I,have,[uterus]
I,had,[cancer]
I,get,[uterus]
you,had,"[nose, job]"
you,liked,[it]
God,force,[you]
they,gave,[Book]
they,told,[me]
I,said,"[Book, me]"
I,think,"[Book, me]"
I,said,[something]
they,gone,"[Book, me]"
I,had,"[to, be, honest, with, myself]"
someone,came,"[theology, dogma]"
I,hearing,"[theology, dogma]"
