,doc,subject,verb,object
189,721,i,find,[bill]
190,721,i,run,[bill]
191,721,i,say,[bill]
192,721,you,turn,[seven]
193,721,you,have,[year]
194,721,god,notice,[it]
195,721,i,turn,"[to, run]"
196,721,i,know,[it]
197,721,i,turn,[seven]
198,721,i,plan,[party]
199,721,mother,take,[me]
200,721,i,need,"[to, speak, to, you, privately]"
201,721,i,say,[laughter]
202,721,i,tell,[them]
203,721,you,go,"[to, go, blab, it, all, over, the, place]"
204,721,i,start,"[to, tell, you, your, birthday, was, september, 10th]"
205,721,i,think,[what]
206,721,she,say,"[do, n't, worry, ,, julie]"
207,721,you,realize,[it]
208,721,you,eat,[piece]
209,721,mother,celebrate,[birthday]
210,721,i,have,"[to, change, the, date, of, my, slumber, party, with, all, of, my, girlfriends]"
211,721,i,have,"[virgo, poster]"
212,721,i,read,[horoscope]
213,721,i,take,"[bus, downtown]"
214,721,i,start,"[filling, out, physically]"
215,721,i,fill,[more]
216,721,idea,seem,[more]
217,721,i,get,"[libra, poster]"
218,721,i,start,"[to, read, my, new, libra, horoscope]"
219,721,i,astonish,"[to, find, that, it, was, also, totally, me]"
220,721,i,turn,[seven]
221,721,i,turn,[seven]
222,721,i,have,[month]
223,721,who,peddle,[things]
224,721,ladies,show,"[cartoon, pictures]"
225,721,i,get,[teenagers]
226,721,who,promise,[me]
227,721,they,join,[gang]
228,721,they,start,"[robbing, people]"
229,721,i,buy,"[magazine, subscriptions]"
230,721,i,ignore,[doorbell]
231,721,i,answer,[doorbell]
232,721,they,stand,[boys]
233,721,they,have,"[name, tags]"
234,721,that,identify,[them]
235,721,they,say,"[boys, name, tags]"
236,721,they,have,[message]
237,721,i,say,[message]
238,721,i,raise,"[them, doctrine, what]"
239,721,i,work,"[them, doctrine, what]"
240,721,i,date,[them]
241,721,i,know,[doctrine]
242,721,they,say,[what]
243,721,i,guess,"[them, doctrine, what]"
244,721,i,sit,[them]
245,721,i,get,[glasses]
246,721,i,get,[it]
247,721,i,get,[it]
248,721,i,get,[glasses]
249,721,you,put,[video]
250,721,me,fix,[hair]
251,721,i,sit,[them]
252,721,i,get,[glasses]
253,721,you,believe,[glasses]
254,721,god,love,[you]
255,721,i,think,"[word, word]"
256,721,i,like,[word]
257,721,it,anthropomorphize,[god]
258,721,i,like,[word]
259,721,that,sexualize,[god]
260,721,i,want,"[to, argue, semantics, with, these, boys]"
261,721,we,have,[story]
262,721,they,tell,[story]
263,721,god,come,"[put, your, family, on, a, boat, and, i, will, lead, you, out, of, here]"
264,721,god,say,"[put, your, family, on, a, boat, and, i, will, lead, you, out, of, here]"
265,721,i,put,[family]
266,721,i,lead,[you]
267,721,god,lead,[them]
268,721,he,lead,[them]
269,721,i,say,[america]
270,721,they,tell,[me]
271,721,he,stop,[america]
272,721,he,visit,[nephites]
273,721,he,tell,[them]
274,721,they,win,[war]
275,721,somebody,blow,[it]
276,721,who,manage,"[to, survive, by, hiding, in, the, woods]"
277,721,he,bury,[which]
278,721,they,tell,[me]
279,721,guy,find,"[gold, plates]"
280,721,he,find,[stone]
281,721,he,put,[that]
282,721,he,bury,[face]
283,721,this,allow,"[me, stone]"
284,721,him,translate,"[gold, plates]"
285,721,i,want,"[to, give, these, two, boys, some, advice, about, their, pitch]"
286,721,i,want,"[to, say]"
287,721,scientologists,know,"[to, start, with, a, personality, test, before, they, start]"
288,721,i,say,[little]
289,721,i,think,[this]
290,721,i,backpedal,[little]
291,721,you,mean,[what]
292,721,you,mean,[what]
293,721,god,give,[gift]
294,721,god,give,[women]
295,721,women,tend,"[to, be, much, less, violent, than, men]"
296,721,i,say,"[oh, ,, come, on]"
297,721,women,try,"[to, have, a, baby, every, single, year, from, the, time, they, were, 15, to, the, time, they, were, 45]"
298,721,women,have,[time]
299,721,they,look,[more]
300,721,they,have,[more]
301,721,you,get,"[to, go, to, heaven, and, be, with, your, family, for, all, eternity]"
302,721,you,lose,[leg]
303,721,you,get,[it]
304,721,i,have,[uterus]
305,721,i,have,[cancer]
306,721,i,get,[uterus]
307,721,i,want,[it]
308,721,you,have,"[nose, job]"
309,721,you,like,[it]
310,721,god,force,[you]
311,721,they,give,[book]
312,721,they,tell,[me]
313,721,i,say,"[book, me]"
314,721,i,think,"[book, me]"
315,721,i,say,[something]
316,721,i,have,"[to, be, honest, with, myself]"
317,721,someone,come,"[theology, dogma, baby]"
318,721,i,hear,"[theology, dogma]"
319,721,they,say,"[theology, dogma, baby]"
320,721,god,impregnate,[girl]
321,721,she,have,[baby]
322,721,myself,feel,"[condescending, towards, these, boys]"
323,721,they,ask,[me]
324,721,god,love,[me]
325,721,they,ask,[me]
326,721,god,love,[you]
327,721,i,feel,[it]
328,721,i,feel,[love]
329,721,i,feel,[love]
