term,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1870,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1871,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1875,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
1879,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1885,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0
1888,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1890,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1891,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
1895,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
18th,0,0,0,0,0,1,1,2,0,1,3,0,2,1,0,0
19,2,2,2,10,1,3,2,3,3,4,3,7,8,8,8,4
190,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1900,2,0,0,1,0,0,0,4,0,0,0,12,0,0,0,1
1900s,0,0,0,1,0,0,2,4,1,0,0,0,0,1,1,0
1902,0,0,0,0,0,0,0,0,0,0,2,0,7,1,0,0
1903,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
1908,1,5,0,0,2,0,0,0,0,0,0,0,0,1,0,0
1910,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0
1912,0,0,0,4,0,0,0,0,0,0,3,0,2,0,0,0
1914,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1
1915,0,0,0,0,0,1,0,0,1,3,0,0,0,0,2,0
1917,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1918,1,0,0,0,2,6,0,0,2,1,0,1,0,1,0,0
1919,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0
192,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1920s,1,0,1,1,0,0,2,1,1,0,0,0,1,0,3,1
1925,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
1927,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
1928,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0
1929,0,0,0,0,0,1,0,3,0,1,1,4,1,0,0,0
1930,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
1930s,0,2,0,0,1,0,0,2,1,3,0,1,2,2,0,0
1932,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1
1935,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1936,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1937,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1938,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1939,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0
1940,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1
1940s,0,1,0,0,1,0,3,1,1,0,0,0,0,0,1,2
1941,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
1942,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
1943,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
1944,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1945,0,4,0,0,0,2,5,3,0,0,0,0,0,3,0,1
1946,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2
1947,0,0,0,3,0,0,0,0,1,0,3,0,0,0,1,0
1948,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1949,0,0,1,1,0,3,3,0,0,0,0,1,0,0,0,0
1950,0,2,0,0,1,2,2,1,1,0,0,2,0,0,1,0
1950s,2,3,4,2,1,3,2,4,0,2,1,3,1,4,0,3
