speaker,man,man,man,woman,woman,woman,man_i-he,man_i-she,woman_i-he,woman_i-she
subject,he,i,she,he,i,she,,,,
verb,,,,,,,,,,
's,0.5497783418839671,3.5084135841988697,0.1525469957630008,0.0,1.8688720364439944,0.4128659699355516,2.9586352423149025,3.3558665884358687,1.8688720364439944,1.4560060665084427
absorb,0.0,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.1525469957630008,0.1525469957630008,0.1805923124338364,0.1805923124338364
abuse,0.0,0.3411682792858146,0.0,0.1805923124338364,0.0,0.0,0.3411682792858146,0.3411682792858146,-0.1805923124338364,0.0
accept,0.3411682792858146,1.518620431183389,0.1525469957630008,0.0,1.949087540228988,0.0,1.1774521518975745,1.3660734354203883,1.949087540228988,1.949087540228988
accompany,0.1525469957630008,0.0,0.0,0.1805923124338364,0.0,0.0,-0.1525469957630008,0.0,-0.1805923124338364,0.0
accomplish,0.1525469957630008,0.1525469957630008,0.1525469957630008,0.0,0.1805923124338364,0.0,0.0,0.0,0.1805923124338364,0.1805923124338364
accuse,0.1525469957630008,0.0,0.0,0.0,0.1805923124338364,0.0,-0.1525469957630008,0.0,0.1805923124338364,0.1805923124338364
achieve,0.0,0.3411682792858146,0.1525469957630008,0.0,0.4128659699355516,0.0,0.3411682792858146,0.18862128352281382,0.4128659699355516,0.4128659699355516
acknowledge,0.0,0.0,0.3050939915260017,0.0,0.1805923124338364,0.0,0.0,-0.3050939915260017,0.1805923124338364,0.1805923124338364
add,0.7330377891786228,7.602644452177645,0.0,0.0,2.669817194919992,0.0,6.869606662999022,7.602644452177645,2.669817194919992,2.669817194919992
admire,0.0,1.2131213683480724,0.0,0.0,0.6758702199940212,0.0,1.2131213683480724,1.2131213683480724,0.6758702199940212,0.6758702199940212
admit,0.0,0.7330377891786228,0.0,0.0,0.1805923124338364,0.0,0.7330377891786228,0.7330377891786228,0.1805923124338364,0.1805923124338364
adopt,0.0,0.5497783418839671,0.0,0.1805923124338364,0.1805923124338364,0.1805923124338364,0.5497783418839671,0.5497783418839671,0.0,0.0
adore,0.0,0.9672933864338102,0.0,0.0,0.4128659699355516,0.0,0.9672933864338102,0.9672933864338102,0.4128659699355516,0.4128659699355516
advise,0.0,0.1525469957630008,0.0,0.0,0.4128659699355516,0.0,0.1525469957630008,0.1525469957630008,0.4128659699355516,0.4128659699355516
