word,count
speak,528
medical,528
complex,526
alone,525
literally,523
brought,521
economy,521
sitting,520
morning,519
hundreds,519
movement,519
scientists,519
shows,517
write,516
red,515
friend,514
girl,514
incredible,512
met,512
stand,512
weeks,512
feet,511
attention,511
seems,511
low,509
support,508
hold,507
risk,507
short,506
rest,504
india,504
dna,501
theory,501
buy,499
images,497
green,496
chance,496
deep,496
forward,496
numbers,496
truth,495
40,494
anyone,494
law,494
recently,493
behavior,492
telling,490
pay,490
watch,490
key,489
millions,489
value,488
starting,488
personal,487
development,487
developed,487
test,486
program,486
giving,486
understanding,486
running,484
generation,483
absolutely,482
film,482
physical,481
tools,480
structure,480
realize,480
discovered,479
north,479
paper,473
material,473
surface,473
likely,472
solve,471
blue,470
designed,469
university,469
average,468
clear,467
force,466
digital,466
choice,465
street,465
changing,465
act,462
online,462
especially,461
12,460
cut,460
baby,460
soon,459
color,459
ice,459
trust,459
patient,458
europe,456
seem,456
fast,453
meet,453
lab,452
showed,452
cars,451
bottom,449
nice,448
animal,448
individual,446
rights,446
network,446
issue,445
lived,445
technologies,445
solar,444
sun,444
girls,444
dark,444
communities,443
impact,443
beyond,442
relationship,441
resources,440
asking,440
creating,439
poverty,438
carbon,437
dream,437
normal,437
major,437
result,436
basic,436
stage,434
present,434
gives,434
class,433
perfect,432
several,431
playing,431
books,428
allow,428
areas,427
solution,427
sounds,425
oil,425
haven,424
miles,423
focus,423
hour,423
cool,421
evolution,421
talked,420
term,420
evidence,420
shape,419
nine,419
stay,418
nobody,418
computers,418
robot,418
type,417
violence,416
special,416
kid,415
issues,415
drug,415
experiment,414
guess,414
anybody,413
produce,413
map,413
similar,413
potential,411
begin,411
modern,410
25,410
journey,410
wait,409
tiny,409
eat,408
obviously,408
towards,408
drugs,408
fly,407
died,407
industry,406
box,406
explain,406
walking,406
becomes,405
save,405
reasons,405
eye,405
rules,404
incredibly,404
groups,404
sex,404
involved,403
worth,402
writing,402
listen,400
drive,400
developing,400
wall,399
approach,398
please,398
revolution,398
putting,397
english,397
effect,394
college,392
dead,392
knows,391
nuclear,391
democracy,390
reach,390
higher,390
source,389
available,389
pictures,388
rate,386
boy,386
send,385
fun,385
international,385
among,383
exciting,383
leaders,383
led,382
cause,382
ocean,382
situation,381
action,381
60,380
google,380
machines,380
lead,379
safe,377
materials,377
speed,377
ready,377
month,376
camera,376
bigger,376
certainly,376
non,375
medicine,374
plant,373
hospital,373
meaning,372
strong,372
pain,371
named,371
buildings,371
eventually,371
progress,371
aren,370
fish,370
showing,369
president,368
mass,368
message,368
shown,368
measure,368
choose,367
code,367
general,367
favorite,367
biggest,366
particularly,366
object,366
trees,365
teach,364
extraordinary,364
hundred,364
chris,362
architecture,362
notice,362
starts,362
500,362
humanity,362
add,361
suddenly,361
security,361
intelligence,359
success,359
200,358
worse,358
plants,358
including,358
son,357
moved,357
jobs,356
onto,356
tree,356
scientific,356
crisis,355
grew,355
vision,355
crazy,355
indeed,355
individuals,354
software,352
organization,352
standing,352
goal,352
11,351
everywhere,351
doctor,351
connected,350
web,350
fall,350
village,350
sit,350
west,350
movie,349
wish,349
chinese,349
spread,348
develop,348
response,348
road,348
plan,347
screen,347
quality,347
minute,346
break,346
record,346
taught,346
table,345
bodies,345
sea,345
hit,344
totally,344
positive,344
product,344
skin,344
happiness,344
brains,344
genes,344
lose,343
watching,343
examples,342
creative,342
conversation,342
families,342
finding,342
continue,341
memory,341
thanks,341
above,341
role,340
models,340
device,340
further,340
faster,339
office,339
site,338
fire,337
robots,337
student,336
zero,336
reading,336
anyway,335
meant,335
results,335
traditional,335
older,335
impossible,334
recognize,334
bacteria,334
consider,333
fight,332
innovation,332
interest,332
police,332
projects,331
mom,331
wants,331
sleep,331
decision,330
truly,329
somewhere,329
supposed,329
period,329
fundamental,329
excited,329
peace,329
objects,329
justice,328
race,328
pattern,328
smart,328
extremely,326
largest,326
freedom,324
sent,323
successful,323
driving,322
touch,322
mine,322
usually,322
protect,322
door,321
late,321
tells,321
beauty,319
doctors,319
song,318
follow,317
killed,317
pick,316
somehow,316
essentially,315
however,315
larger,315
conditions,314
cases,314
alive,313
east,312
cold,312
kept,312
allowed,312
perspective,311
18,311
rich,311
tool,311
stars,311
biology,311
diseases,310
solutions,309
greatest,309
expect,309
allows,308
games,307
forms,306
complicated,306
visual,305
slow,304
upon,304
patterns,303
thousand,303
governments,303
specific,303
lines,302
challenges,302
genetic,302
decades,301
wife,300
80,300
electricity,299
income,299
private,299
citizens,299
although,299
points,298
fine,298
schools,297
kill,297
wind,296
page,296
treatment,296
anymore,296
becoming,296
politics,295
weren,295
square,295
societies,295
forest,294
wonder,294
daughter,293
gas,293
shot,293
physics,292
institutions,291
healthy,291
bunch,290
waste,290
main,290
hiv,290
rise,290
speaking,289
service,289
written,288
increase,288
workers,288
ended,288
region,288
americans,287
ahead,287
near,287
list,287
services,286
earlier,286
products,285
loved,285
pressure,285
studies,285
policy,284
walked,284
clearly,284
decisions,283
except,283
listening,283
exist,283
foot,283
training,282
trade,282
critical,282
pieces,282
waiting,281
win,280
travel,279
massive,279
series,278
activity,278
dangerous,278
context,278
shared,277
bank,277
himself,277
helped,276
effective,275
current,275
teachers,275
practice,275
version,274
minds,274
hot,274
provide,274
connect,274
central,274
identity,273
performance,272
subject,272
teacher,272
concept,272
expensive,272
magic,272
military,272
clean,272
tend,271
hey,271
content,271
throughout,270
none,269
values,269
lower,269
broken,269
dr,269
cultural,268
moral,268
treat,268
forget,268
party,267
mental,267
tv,266
capital,265
price,265
anywhere,265
mars,265
train,264
artist,264
direction,264
therefore,264
beings,263
afraid,263
position,262
birth,262
prison,262
levels,261
sorry,261
unique,261
mostly,260
immediately,260
colleagues,260
unfortunately,259
decade,259
effects,259
secret,258
types,258
search,258
star,258
skills,257
serious,257
planets,257
choices,256
range,256
flying,256
consciousness,256
television,255
western,255
sorts,255
virus,255
pull,254
floor,254
seconds,253
engineering,253
store,253
worst,252
forth,252
sky,252
town,252
smaller,251
costs,251
streets,251
complete,251
ancient,251
rule,250
dance,250
emotional,250
push,250
feels,250
recent,250
river,249
experiences,249
following,249
whose,249
mobile,249
california,249
gene,249
board,248
actual,248
bed,247
famous,247
legs,247
production,247
laws,247
conference,246
speech,246
hate,246
career,246
70,246
survive,246
obvious,246
raise,246
enormous,246
biological,246
female,246
path,245
knowing,245
willing,245
final,244
greater,244
creativity,244
remarkable,244
inspired,244
weight,244
conflict,244
various,243
relationships,243
instance,243
infrastructure,243
sustainable,242
environmental,242
nearly,242
fantastic,242
despite,241
aid,241
civil,241
14,241
park,240
dad,240
financial,240
math,240
meeting,240
connection,240
neurons,240
stress,240
address,239
dreams,239
fit,239
stopped,239
emotions,239
causes,239
slide,238
press,238
dying,238
capacity,238
male,238
nation,238
members,238
arm,237
scientist,237
ends,237
london,237
glass,237
ran,237
answers,237
diversity,237
sell,236
highly,236
organizations,236
extra,236
closer,236
john,235
straight,235
continent,235
directly,234
familiar,234
understood,234
terrible,234
seemed,234
mountain,234
summer,233
function,233
matters,233
decide,233
fully,233
strange,232
invented,232
networks,232
90,231
useful,231
foundation,231
programs,231
babies,231
malaria,231
sat,230
drop,230
carry,230
ultimately,230
evolved,230
flow,230
moon,230
experiments,230
facebook,230
significant,229
300,229
differently,229
character,228
attack,228
industrial,228
website,227
dollar,227
spaces,227
slightly,227
uses,227
text,227
legal,226
urban,226
fuel,226
mission,226
birds,226
sexual,226
post,225
differences,225
achieve,225
worry,225
hair,225
published,225
sign,224
bringing,224
purpose,224
letter,223
bill,223
missing,223
boys,223
responsibility,223
hole,223
event,223
track,223
failure,223
easier,222
heat,222
religion,222
artists,222
quick,221
apart,221
explore,221
religious,221
aware,220
hearing,220
giant,220
moments,220
loss,219
faith,219
possibly,219
reduce,218
possibility,218
sister,218
discover,218
related,218
communicate,217
24,217
nations,217
played,217
helping,217
lights,217
paid,216
improve,216
standard,216
opportunities,216
degree,216
produced,216
draw,216
mr,214
focused,214
museum,214
join,214
brother,213
teaching,213
sharing,213
tissue,213
original,212
popular,212
bridge,212
farmers,212
report,211
email,211
forces,211
vast,211
la,211
necessarily,210
gender,210
describe,210
below,209
cover,209
supply,209
sick,208
chemical,208
atmosphere,208
16,208
easily,208
entirely,208
suffering,208
san,208
virtual,208
lucky,207
neighborhood,207
studying,207
core,207
collective,207
markets,207
communication,207
twice,206
gotten,206
distance,206
billions,206
degrees,205
noticed,205
surgery,205
check,205
aids,205
photograph,205
passed,205
island,204
discovery,204
held,204
brand,203
radio,203
feed,203
raised,203
competition,203
husband,203
european,203
bought,202
fighting,202
professor,202
engage,202
voices,201
window,201
holding,201
fix,201
stuck,201
13,201
structures,201
shift,201
oxygen,201
pass,200
complexity,200
task,200
apply,200
failed,200
king,200
refugees,200
engineers,200
genome,200
cross,199
painting,199
total,199
events,199
interact,199
david,198
figured,198
3d,198
trouble,198
washington,197
active,197
basis,197
opposite,197
responsible,197
landscape,197
particles,197
stick,196
400,196
offer,196
agree,196
etc,196
extreme,196
plane,195
otherwise,195
imagination,195
corner,195
importantly,195
plastic,195
benefits,194
turning,194
lack,194
names,194
creates,193
walls,193
temperature,192
designers,192
block,192
molecules,192
devices,192
negative,191
funny,191
sector,191
normally,191
leadership,190
campaign,189
shouldn,189
trained,189
brazil,189
stood,189
brings,189
wealth,188
calls,188
crime,188
tremendous,188
spending,188
twitter,188
edge,187
noise,187
believed,187
fields,187
gold,187
bone,187
leader,187
platform,187
effort,187
coffee,187
organisms,187
investment,186
safety,186
majority,186
managed,186
circle,186
faces,186
british,186
cloud,186
leading,185
profound,185
deeply,185
married,184
goals,184
efficient,184
desire,184
17,184
magazine,184
capable,184
labor,184
mothers,184
mentioned,183
brilliant,183
afghanistan,183
blind,183
helps,183
balance,183
benefit,182
equal,182
notion,182
rock,182
necessary,182
french,182
phones,182
received,182
dimensional,182
al,181
proud,181
return,181
prize,181
fairly,181
predict,181
super,181
homes,181
electric,181
researchers,181
opened,180
surprise,180
driven,180
leads,180
whom,180
intelligent,179
asia,179
invisible,179
tough,179
elements,179
bear,179
surprising,179
studied,179
consequences,179
multiple,179
leaving,178
mathematics,178
transform,178
ball,178
rural,178
compared,178
definition,178
artificial,178
narrative,178
target,177
contact,177
card,177
afford,177
strategy,177
visit,177
motion,177
weird,177
weapons,177
wild,176
flight,176
childhood,176
grown,176
background,176
finished,176
eating,176
quantum,176
adults,175
according,175
stem,175
algorithms,175
sudden,174
pages,174
respond,174
daily,174
everyday,174
talks,174
signals,174
bg,174
hidden,173
wave,173
trial,173
co2,172
tech,172
constantly,172
photo,172
count,172
dog,172
avoid,172
clock,172
seriously,172
engineer,172
iraq,172
damage,172
saved,172
losing,172
net,171
forever,171
lesson,171
condition,171
hell,171
150,171
civilization,171
deeper,171
invest,170
steps,170
highest,170
base,170
charge,170
deliver,170
passion,170
trip,170
compassion,170
quote,169
folks,169
apple,169
throw,169
typical,169
principles,169
currently,169
finger,169
cheap,169
wearing,169
soil,168
debate,168
spoke,168
described,168
joy,168
double,168
wide,168
threat,168
em,168
japan,167
wow,167
enjoy,167
ants,167
influence,166
marriage,166
watched,166
honest,166
curious,166
experienced,166
caught,166
jump,166
creatures,166
anderson,165
facing,165
spot,165
saving,165
hopefully,165
vote,165
affect,165
unless,165
church,165
paint,165
engine,165
george,165
bird,165
fascinating,165
sold,165
letters,165
nigeria,164
limited,164
mouse,164
wear,164
commercial,164
yellow,164
compare,164
universal,164
court,164
respect,164
demand,164
signal,164
due,164
organized,164
remote,164
rates,163
gdp,163
foreign,163
promise,163
ten,163
invited,163
filled,163
breast,163
existence,163
operating,162
era,162
survival,162
spirit,162
followed,162
kenya,162
slowly,162
videos,162
dinner,161
messages,161
considered,161
separate,161
caused,161
account,161
grandmother,161
begins,161
represent,161
arms,161
emissions,160
department,160
mark,160
calling,160
worried,160
meters,160
photos,160
valley,160
cycle,160
pounds,160
principle,159
associated,159
traffic,159
heads,159
moves,159
station,159
prevent,159
generations,159
match,159
closed,158
strength,158
equipment,158
gap,158
ray,158
depression,158
factory,158
businesses,158
autism,158
farm,157
accept,157
cat,157
lie,157
exercise,157
surprised,157
de,157
creation,157
movements,157
yesterday,156
wisdom,156
paying,156
plus,156
sentence,156
singing,156
camp,156
note,156
essential,156
leaves,156
vehicle,156
partner,155
alternative,155
switch,155
lies,155
concerned,155
grade,155
kilometers,155
struggle,155
clinical,155
electrical,155
muscle,155
exchange,154
insects,154
expected,154
connections,154
belief,154
tons,154
manage,154
picked,154
ordinary,154
21st,154
whenever,154
shoes,153
designing,153
fourth,153
roll,153
tail,153
warming,152
sending,152
nervous,152
dealing,152
leg,152
mouth,152
tumor,152
colors,152
professional,152
dimensions,151
crowd,151
represents,151
sequence,151
languages,151
kitchen,151
paul,151
reaction,151
graph,151
processes,151
mile,151
factors,150
harder,150
neighbors,150
hurt,150
identify,150
metal,150
phenomenon,150
facts,150
tens,150
conscious,150
technical,149
pre,149
gun,149
exists,149
wondering,149
argue,149
seat,149
democratic,149
random,149
cultures,149
ah,149
direct,149
risks,149
catch,149
launched,149
illness,149
tomorrow,149
forests,149
mountains,149
gravity,149
protein,149
keeping,148
rare,148
perfectly,148
dry,148
chain,147
feedback,147
inner,147
shame,147
possibilities,147
variety,147
emotion,147
sad,147
evolutionary,147
requires,147
fair,147
richard,147
movies,147
desert,147
conversations,146
fail,146
economics,146
express,146
partners,146
covered,146
cure,146
treated,146
increasingly,146
honor,145
sub,145
weather,145
opening,145
sites,145
forced,145
francisco,145
prove,145
toward,145
scene,145
classroom,145
hasn,144
arrived,144
theater,144
shapes,144
bright,144
appear,144
importance,144
cameras,144
analysis,143
interaction,143
intellectual,143
goods,143
molecular,143
trillion,143
iran,143
soldiers,143
lifetime,143
actions,143
generate,143
equivalent,143
pole,143
thoughts,143
mathematical,143
details,142
planning,142
specifically,142
comfortable,142
drink,142
credit,142
soul,142
addition,142
member,142
prime,142
clouds,142
microbes,142
fell,141
cutting,141
collect,141
property,141
empty,141
vulnerable,141
pleasure,141
advanced,141
regular,141
ancestors,141
equality,141
terrorism,141
definitely,141
fossil,140
roof,140
versus,140
fellow,140
worldwide,140
independent,140
healthcare,140
detect,140
testing,140
processing,140
wake,140
serve,139
99,139
construction,139
75,139
anti,139
radical,139
status,139
africans,139
detail,139
houses,139
environments,139
army,139
breath,139
spring,138
600,138
hadn,138
institute,138
statistics,138
effectively,138
thinks,138
cave,138
date,138
scared,138
experts,138
increasing,138
argument,138
southern,138
privacy,138
interface,137
gift,137
mention,137
confidence,137
factor,137
spectrum,137
bits,137
producing,137
einstein,137
aging,137
20th,137
smile,137
properties,137
gay,137
galaxy,137
worlds,136
coast,136
unlike,136
remain,136
ship,136
canada,136
poetry,136
poem,136
expression,136
election,136
bomb,136
airplane,135
rapidly,135
exact,135
drawing,135
transition,135
flat,135
require,135
agriculture,135
designer,135
characters,135
grandfather,135
round,135
killing,135
rain,134
graduate,134
perception,134
stupid,134
finish,134
adult,134
grand,134
roughly,134
advantage,134
capture,133
england,133
arts,133
stone,133
lady,133
article,133
sing,133
puts,133
copy,132
release,132
bus,132
james,132
chicago,132
photographs,132
nasa,132
memories,132
vaccine,132
manufacturing,132
britain,132
chemistry,132
meaningful,132
radiation,132
resistance,132
centers,132
corruption,132
pm,132
youtube,132
transportation,131
beat,131
previous,131
regions,131
zone,131
suppose,131
traveling,131
flu,131
launch,131
fiction,131
molecule,131
records,130
link,130
distribution,130
underneath,130
accident,130
player,130
invention,130
refugee,130
concrete,130
trick,130
union,130
fundamentally,130
techniques,130
centuries,130
method,130
waves,130
valuable,129
sports,129
feelings,129
reached,129
existing,129
curve,129
harvard,129
enter,129
trials,129
metaphor,129
mirror,128
breathe,128
dropped,128
chair,128
relatively,128
layer,128
broke,128
cards,128
solving,128
victims,128
jail,128
holes,128
studio,128
amazon,128
politicians,127
combination,127
added,127
courage,127
heavy,127
mistake,127
ladies,127
mit,127
da,127
garden,127
fashion,127
immune,127
suggest,127
liquid,127
bees,127
users,126
nor,126
recording,126
fill,126
sees,126
hospitals,126
cortex,126
telescope,126
emerging,126
sand,126
blocks,125
destruction,125
remind,125
therapy,125
defined,125
challenging,125
introduce,125
engaged,125
films,125
wars,125
occur,125
chose,125
explained,125
border,125
cognitive,125
flag,125
interview,125
unit,125
coal,124
include,124
gain,124
opinion,124
carefully,124
setting,124
brown,124
wood,124
location,124
fresh,123
personally,123
appreciate,123
features,123
pulled,123
increased,123
budget,123
ride,123
45,123
rooms,123
lay,123
embrace,123
stronger,123
affected,123
younger,123
fears,123
battery,123
milk,123
horse,123
inequality,123
oceans,123
algorithm,123
profit,122
35,122
pop,122
fund,122
whereas,122
falling,122
depends,122
hide,122
borders,122
busy,122
taste,122
literature,122
volume,122
discussion,122
darwin,122
silence,121
quiet,121
danger,121
lessons,121
resource,121
funding,121
prepared,121
required,121
define,121
epidemic,121
sugar,121
claim,121
steel,121
library,121
fake,121
minister,121
committed,121
congress,121
applied,121
ai,121
keeps,121
motor,121
carrying,121
dramatic,121
crash,121
silk,121
senses,121
northern,121
encourage,121
organs,121
galaxies,121
option,121
user,120
hall,120
interests,120
housing,120
participate,120
evil,120
mexico,120
rid,120
reward,120
released,120
medium,120
policies,120
figures,119
correct,119
primary,119
ours,119
ultimate,119
shaped,119
muslim,119
boat,119
runs,119
formed,119
joined,119
receive,119
smell,119
printing,119
dots,119
click,118
recorded,118
fingers,118
components,118
neither,118
21,118
russia,118
arab,118
suicide,118
architect,118
providing,118
michael,118
youth,118
replace,118
parent,118
hydrogen,118
sophisticated,118
attempt,118
vehicles,118
carried,118
wikipedia,118
solved,117
absolute,117
scary,117
burning,117
faced,117
bush,117
egypt,117
disaster,117
rice,117
march,117
collaboration,117
activities,117
unknown,117
technological,116
management,116
style,116
newspaper,116
maps,116
assume,116
collection,116
naturally,116
ecosystem,116
driver,116
songs,116
weak,116
snow,116
france,116
convince,115
admit,115
liked,115
violent,115
false,115
innovative,115
laugh,115
wanting,115
generally,115
fewer,115
mystery,115
remains,115
atoms,115
empathy,115
potentially,115
former,114
beach,114
section,114
typically,114
transformation,114
nose,114
handle,114
distributed,114
awful,114
viruses,114
inspiration,114
combine,114
breathing,114
germany,114
occurred,114
2008,114
battle,114
restaurant,113
visible,113
options,113
steve,113
dynamic,113
tradition,113
charles,113
doubt,113
players,113
infected,113
economies,113
organic,113
australia,113
roads,113
convinced,113
staff,112
buying,112
architects,112
frankly,112
equally,112
director,112
mix,112
mid,112
meat,112
thin,112
satellite,112
clinic,112
circumstances,112
pregnant,112
novel,112
symptoms,112
string,112
evolve,112
bang,112
productive,112
roots,112
linked,112
offered,111
error,111
2000,111
solid,111
surrounded,111
relevant,111
miss,111
combined,111
explanation,111
suit,111
sides,111
frame,111
survey,111
curiosity,111
shop,111
mechanism,111
capitalism,111
passionate,111
dinosaurs,111
shut,110
print,110
signs,110
closely,110
agreed,110
los,110
internal,110
painful,110
operation,110
september,110
brothers,110
sources,110
grab,110
sensitive,110
row,110
writer,110
ears,110
teeth,110
criminal,110
pushing,110
quarter,109
multi,109
pair,109
drives,109
master,109
skill,109
hoping,109
wondered,109
hearts,109
gentlemen,109
swim,109
sensors,109
controlled,109
measured,109
aspect,109
entertainment,108
button,108
evening,108
windows,108
ii,108
mistakes,108
rational,108
acts,108
unusual,108
statement,108
crying,108
japanese,108
extent,108
warm,108
acting,108
grid,108
rising,108
citizen,108
transparency,108
app,107
lunch,107
selling,107
ant,107
paris,107
treating,107
horrible,107
sight,107
soft,107
applications,107
perform,107
proteins,107
harm,107
antibiotics,107
bar,106
sustainability,106
wherever,106
computing,106
abuse,106
climb,106
defense,106
vaccines,106
advice,105
logic,105
physically,105
laptop,105
imagined,105
largely,105
bubble,105
display,105
functions,105
psychology,105
sets,105
23,105
lying,105
stayed,105
aspects,105
organism,105
outcome,105
awesome,105
ought,104
welcome,104
employees,104
magnetic,104
